#Code;English;French;German;Spanish;Russian;x
ioc_central_african_earthen_pit;Earthen Pit;;;;;x
ioc_central_african_earthen_pit_desc;A primitive, hastily-dug pit lined with dry grasses, used to store grain and roots in the Central African wilds. Vulnerable to rain and pests, but a vital first step for any nomad seeking to survive the Sahel.;;;;;x
ioc_central_african_woven_basket;Woven Basket;;;;;x
ioc_central_african_woven_basket_desc;Grain and seeds are stored in tightly-bound baskets woven from reeds and grasses, raising them above the damp earth. Enables more secure storage and easier transport for migratory clans.;;;;;x
ioc_central_african_mudbrick_hut;Mudbrick Hut;;;;;x
ioc_central_african_mudbrick_hut_desc;Simple mudbrick huts are built as semi-permanent silos, protecting stores from rain and most pests. These structures mark the transition from mere survival to true settlement.;;;;;x
ioc_central_african_thatched_silo;Thatched Silo;;;;;x
ioc_central_african_thatched_silo_desc;A large, circular silo with a thick thatched roof, built to keep out rain and heat. Improved storage means less grain is spoiled, supporting a growing clan and larger herds.;;;;;x
ioc_central_african_rodent_proof_store;Rodent-Proof Store;;;;;x
ioc_central_african_rodent_proof_store_desc;Elevated and sealed storage chambers, built atop stone or wood stilts, with smooth plastered walls to deter rodents. Greatly reduces spoilage, keeping the clan well-fed year-round.;;;;;x
ioc_central_african_guarded_pavilion;Guarded Pavilion;;;;;x
ioc_central_african_guarded_pavilion_desc;Armed guards are stationed to protect granary goods from both wild animals and jealous neighbors. The presence of sentries increases clan unity and attracts new followers.;;;;;x
ioc_central_african_market_storehall;Market Storehall;;;;;x
ioc_central_african_market_storehall_desc;A bustling gathering point for trade caravans, where surplus grain is exchanged for goods and services. Market regulation brings prosperity and promotes population growth.;;;;;x
ioc_central_african_expanded_granary;Expanded Granary;;;;;x
ioc_central_african_expanded_granary_desc;A sprawling complex of interconnected silos and storage huts, able to hold the bounty of numerous harvests. Supports vast population surges and makes large-scale mobilization possible.;;;;;x
ioc_central_african_grain_exchange_hall;Grain Exchange Hall;;;;;x
ioc_central_african_grain_exchange_hall_desc;A central hall for the storage, weighing, and distribution of grain, complete with scribes and overseers. The grain exchange cements your clan as a regional power in commerce and logistics.;;;;;x
ioc_central_african_central_african_granary;Central African Granary;;;;;x
ioc_central_african_central_african_granary_desc;The apex of storage and logistics: this monumental grainhouse features stone-lined vaults, guarded storehouses, and bustling grain markets. The pride of Central Africa, it enables your clan to rival the greatest settled realms of the world.;;;;;x
