#Code;English;French;German;Spanish;Russian;x
bxb_open_table;Open Table;;;;;x
bxb_open_table_desc;A rough table set in the open, where traders gather to barter wares and news, marking the first step in organized nomadic commerce.;;;;;x
bxb_barter_patch;Barter Patch;;;;;x
bxb_barter_patch_desc;A staked-out patch of ground with rough mats and a few tables, where clans meet to exchange livestock, tools, and stories.;;;;;x
bxb_traders_tent;Traders Tent;;;;;x
bxb_traders_tent_desc;A sturdy felt tent offering shelter to merchants and their goods, providing a more permanent hub for commerce and gathering.;;;;;x
bxb_merchants_pavilion;Merchants Pavilion;;;;;x
bxb_merchants_pavilion_desc;A spacious, colorful tent complex bustling with traders, minor artisans, and suppliers—an early hub of nomadic market life.;;;;;x
bxb_market_stand;Market Stand;;;;;x
bxb_market_stand_desc;A row of permanent wooden stands and awnings, providing protection for goods and a sense of stability to the growing camp marketplace.;;;;;x
bxb_exchange_room;Exchange Room;;;;;x
bxb_exchange_room_desc;A sturdy semi-permanent timber structure where clan leaders and trusted merchants settle major deals, negotiate, and exchange rare goods.;;;;;x
bxb_market_hall;Market Hall;;;;;x
bxb_market_hall_desc;A large, well-constructed hall of wood and canvas, filled with bustling stalls and spaces for trade, feasts, and major gatherings.;;;;;x
bxb_zoroastrian_grand_market;Zoroastrian Grand Market;;;;;x
bxb_zoroastrian_grand_market_desc;A sacred, awe-inspiring market complex dedicated in the Zoroastrian tradition, blending trade, religious rituals, and clan unity into a singular spiritual and economic heart.;;;;;x
bxb_guild_pavilion;Guild Pavilion;;;;;x
bxb_guild_pavilion_desc;A complex of tents and wooden structures housing merchant guilds, offering advanced services, security, and regulation for the nomadic market.;;;;;x
bxb_grand_market_room;Grand Market Room;;;;;x
bxb_grand_market_room_desc;A vast, opulent wooden hall and tent complex, center of commerce, diplomacy, and celebration for the steppe clans.;;;;;x
