#Code;English;French;German;Spanish;Russian;x
nao_finno_ugric_sauna_steam_pit;Steam Pit;;;;;x
nao_finno_ugric_sauna_steam_pit_desc;A shallow pit lined with stones, heated by fire and covered with hides. The earliest form of nomadic sauna, offering warmth and simple purification for the clan.;;;;;x
nao_finno_ugric_sauna_smoke_tent;Smoke Tent;;;;;x
nao_finno_ugric_sauna_smoke_tent_desc;A portable tent with a stone hearth and birch branches. The smoke tent serves for cleansing and brief council, improving unity among the people.;;;;;x
nao_finno_ugric_sauna_hot_stone_hut;Hot Stone Hut;;;;;x
nao_finno_ugric_sauna_hot_stone_hut_desc;A sturdier, semi-permanent hut built from logs and sod with a stone stove at its heart. Hot stones release steam for ritual purification and communal gatherings.;;;;;x
nao_finno_ugric_sauna_wooden_bathhouse;Wooden Bathhouse;;;;;x
nao_finno_ugric_sauna_wooden_bathhouse_desc;A log bathhouse, roofed and insulated, with benches and a stone stove. The clan can gather here for cleansing, feasts, and important meetings.;;;;;x
nao_finno_ugric_sauna_birch_switch_pavilion;Birch Switch Pavilion;;;;;x
nao_finno_ugric_sauna_birch_switch_pavilion_desc;A fine pavilion built of timber, featuring benches and stocks of birch switches. The structure encourages ritual purification and supports large clan ceremonies.;;;;;x
nao_finno_ugric_sauna_heated_room;Heated Room;;;;;x
nao_finno_ugric_sauna_heated_room_desc;A sophisticated, multi-chamber bathhouse with heated floors and walls. The heated room is a symbol of prosperity and advanced craftsmanship in the clan.;;;;;x
nao_finno_ugric_sauna_sweat_lodge;Sweat Lodge;;;;;x
nao_finno_ugric_sauna_sweat_lodge_desc;A grand sweat lodge, combining the best traditions of the clan. Used for healing, diplomacy, and spiritual rites, drawing travelers and increasing the clans renown.;;;;;x
nao_finno_ugric_sauna_family_sauna;Family Sauna;;;;;x
nao_finno_ugric_sauna_family_sauna_desc;Private, well-appointed saunas for every clan family. These foster unity, health, and strong bonds, attracting more people to join the clan.;;;;;x
nao_finno_ugric_sauna_community_bath;Community Bath;;;;;x
nao_finno_ugric_sauna_community_bath_desc;A vast communal bath complex, open to all members of the clan and visiting guests. Greatly enhances population, unity, and supply for the horde.;;;;;x
nao_finno_ugric_sauna_grand_sauna;Grand Sauna;;;;;x
nao_finno_ugric_sauna_grand_sauna_desc;A legendary sauna complex, a marvel of wood, stone, and art, welcoming all clans and dignitaries. The Grand Sauna is the pride of the horde, a symbol of unity, strength, and cultural supremacy.;;;;;x
