#Code;English;French;German;Spanish;Russian;x
dws_latin_villa_mudbrick_hut;Mudbrick Hut;;;;;x
dws_latin_villa_mudbrick_hut_desc;A makeshift mudbrick hut, hastily erected by newly arrived clans to provide the most basic shelter and storage from the elements.;;;;;x
dws_latin_villa_wattle_shelter;Wattle Shelter;;;;;x
dws_latin_villa_wattle_shelter_desc;Simple wattle-and-daub shelters, providing slightly improved living conditions and fostering clan unity among the inhabitants.;;;;;x
dws_latin_villa_stone_foundation_house;Stone Foundation House;;;;;x
dws_latin_villa_stone_foundation_house_desc;More permanent houses built atop stone foundations, signaling the start of a settled presence and increasing the population and manpower growth.;;;;;x
dws_latin_villa_tile_roof_villa;Tile Roof Villa;;;;;x
dws_latin_villa_tile_roof_villa_desc;A villa with enduring tile roof and thick walls, providing not only shelter but dignified living for clan leaders. Attracts population and increases supply and sentiment.;;;;;x
dws_latin_villa_mediterranean_courtyard;Mediterranean Courtyard;;;;;x
dws_latin_villa_mediterranean_courtyard_desc;An open, paved courtyard at the heart of the villa, encouraging gatherings, celebrations, and trade among clans.;;;;;x
dws_latin_villa_arched_gallery;Arched Gallery;;;;;x
dws_latin_villa_arched_gallery_desc;A covered gallery of arches and pillars encircling the villa, providing both prestige and protection, and allowing for increased movement and supply.;;;;;x
dws_latin_villa_decorated_portico;Decorated Portico;;;;;x
dws_latin_villa_decorated_portico_desc;A grand entrance adorned with mosaics, columns, and carvings, enhancing the reputation of the clan and fostering unity.;;;;;x
dws_latin_villa_columned_hall;Columned Hall;;;;;x
dws_latin_villa_columned_hall_desc;A magnificent hall of marble columns, serving as the center for clan councils and celebrations, further increasing population, supply, and prestige.;;;;;x
dws_latin_villa_patricians_residence;Patricians Residence;;;;;x
dws_latin_villa_patricians_residence_desc;A lavish residence for the clans elite, boasting private gardens and storied rooms, attracting nobles and offering unmatched population growth and tax revenue.;;;;;x
dws_latin_villa_grand_latin_villa;Grand Latin Villa;;;;;x
dws_latin_villa_grand_latin_villa_desc;A sprawling estate of marble, fountains, and lush gardens, the Grand Latin Villa is the pinnacle of settled life for even the most ambitious clan. It radiates prosperity, authority, and unity for all who dwell within.;;;;;x
