#Code;English;French;German;Spanish;Russian;x
kdi_west_slavic_log_fence;Log Fence;;;;;x
kdi_west_slavic_log_fence_desc;A basic defensive perimeter made of sharpened logs, offering minimal protection and defining the clans first settled space in the wilds.;;;;;x
kdi_west_slavic_wooden_gate;Wooden Gate;;;;;x
kdi_west_slavic_wooden_gate_desc;A sturdy timber gate secures the main entry, increasing both protection and the impression of order for the growing settlement.;;;;;x
kdi_west_slavic_thatched_pavilion;Thatched Pavilion;;;;;x
kdi_west_slavic_thatched_pavilion_desc;A broad, communal shelter of woven reeds and thatch, providing cover for gatherings and fostering unity among the kin.;;;;;x
kdi_west_slavic_stone_hearth;Stone Hearth;;;;;x
kdi_west_slavic_stone_hearth_desc;A central hearth built of river stones, providing warmth and a place for communal meals, strengthening both body and spirit.;;;;;x
kdi_west_slavic_inner_yard;Inner Yard;;;;;x
kdi_west_slavic_inner_yard_desc;A cleared and enclosed yard for livestock, crafts, and children, marking the heart of a more settled, thriving clan encampment.;;;;;x
kdi_west_slavic_family_shelter;Family Shelter;;;;;x
kdi_west_slavic_family_shelter_desc;Sturdy wooden buildings for each family, offering protection from the elements and improving clan stability and manpower.;;;;;x
kdi_west_slavic_village_square;Village Square;;;;;x
kdi_west_slavic_village_square_desc;A central gathering place for feasts, markets, and council, fostering unity and cultural growth in the settlement.;;;;;x
kdi_west_slavic_elders_room;Elders Room;;;;;x
kdi_west_slavic_elders_room_desc;A dedicated chamber for the clans elders, where wisdom is shared and important decisions are made, solidifying clan unity and leadership.;;;;;x
kdi_west_slavic_community_hall;Community Hall;;;;;x
kdi_west_slavic_community_hall_desc;A large timber hall hosting celebrations and councils, the true center of communal life and decisions for the clan.;;;;;x
kdi_west_slavic_courtyard;West Slavic Courtyard;;;;;x
kdi_west_slavic_courtyard_desc;A fortified, stone-paved courtyard surrounded by halls, the pride of the clan and a lasting symbol of their strength, unity, and prosperity.;;;;;x
