#Code;English;French;German;Spanish;Russian;x
uqp_indo_aryan_spindle_stand;Spindle Stand;;;;;x
uqp_indo_aryan_spindle_stand_desc;An open-air stand with makeshift stools where Indo-Aryan weavers begin spinning raw fibers into thread. Welcomes the first artisans to the camp.;;;;;x
uqp_indo_aryan_weavers_bench;Weavers Bench;;;;;x
uqp_indo_aryan_weavers_bench_desc;A sturdy, portable bench providing communal workspace for several weavers. Simple, yet vital for boosting productivity and unity.;;;;;x
uqp_indo_aryan_loom_hut;Loom Hut;;;;;x
uqp_indo_aryan_loom_hut_desc;A large, tented hut dedicated to loom-work, sheltering valuable tools and weavers from the elements. Fosters greater horde cohesion and output.;;;;;x
uqp_indo_aryan_threading_pavilion;Threading Pavilion;;;;;x
uqp_indo_aryan_threading_pavilion_desc;A sprawling pavilion where skilled hands work in tandem, threading fine yarn for cloth production. Increases the efficiency and size of the nomadic horde.;;;;;x
uqp_indo_aryan_dyehouse;Dyehouse;;;;;x
uqp_indo_aryan_dyehouse_desc;A permanent structure for dyeing threads and fabrics in vibrant hues, introducing complex techniques and trade opportunities.;;;;;x
uqp_indo_aryan_patterned_loom_room;Patterned Loom Room;;;;;x
uqp_indo_aryan_patterned_loom_room_desc;A well-appointed hall filled with advanced looms for intricate patterns, boosting both textile output and the unity of the Indo-Aryan clan.;;;;;x
uqp_indo_aryan_fine_weavers_hall;Fine Weavers Hall;;;;;x
uqp_indo_aryan_fine_weavers_hall_desc;A prestigious hall where master weavers create luxurious textiles for trade and prestige, attracting skilled artisans and increasing clan renown.;;;;;x
uqp_indo_aryan_textile_chamber;Textile Chamber;;;;;x
uqp_indo_aryan_textile_chamber_desc;A grand chamber that organizes large-scale textile production and manages supply lines, further improving the mobility and growth of the horde.;;;;;x
uqp_indo_aryan_cloth_guildhall;Cloth Guildhall;;;;;x
uqp_indo_aryan_cloth_guildhall_desc;A fortified guildhall where the most skilled Indo-Aryan weavers and merchants gather, regulating trade and enhancing the hordes prosperity and cohesion.;;;;;x
uqp_indo_aryan_weaver_guild;Indo-Aryan Weaver Guild;;;;;x
uqp_indo_aryan_weaver_guild_desc;The highest seat of Indo-Aryan weaving, this grand guild commands vast resources, secures trade, and cements unity and prosperity for the entire horde.;;;;;x
