#Code;English;French;German;Spanish;Russian;x
yob_open_table_israelite_market;Open Table;;;;;x
yob_open_table_israelite_market_desc;A simple gathering place where traders lay out their wares on cloth or boards, forming the bare beginnings of a market among the Israelite nomads.;;;;;x
yob_barter_patch_israelite_market;Barter Patch;;;;;x
yob_barter_patch_israelite_market_desc;A rough square of trampled earth, where Israelite clans meet to exchange goods, livestock, and stories. Trust and unity are fostered among the tribes in this communal patch.;;;;;x
yob_traders_tent_israelite_market;Traders Tent;;;;;x
yob_traders_tent_israelite_market_desc;Simple canvas tents shelter merchants and their wares from the elements, attracting more traders and fostering a sense of community among Israelite clans.;;;;;x
yob_merchants_pavilion_israelite_market;Merchants Pavilion;;;;;x
yob_merchants_pavilion_israelite_market_desc;A large communal tent, reinforced with wooden beams, where Israelite merchants gather for both commerce and council. Trade thrives under its canvas.;;;;;x
yob_market_stand_israelite_market;Market Stand;;;;;x
yob_market_stand_israelite_market_desc;Wooden stalls and awnings now line the market grounds, offering shelter for goods and drawing in traders from distant tribes. Organization and prosperity increase among the Israelites.;;;;;x
yob_exchange_room_israelite_market;Exchange Room;;;;;x
yob_exchange_room_israelite_market_desc;A sturdy wooden structure, guarded and organized, where coin and contracts begin to supplement barter among the Israelites. Trade with outsiders becomes more frequent.;;;;;x
yob_market_hall_israelite_market;Market Hall;;;;;x
yob_market_hall_israelite_market_desc;A grand semi-permanent hall of timber and stone, the market now hosts merchants from far and wide, and Israelite clans gather in unity and prosperity.;;;;;x
yob_guild_pavilion_israelite_market;Guild Pavilion;;;;;x
yob_guild_pavilion_israelite_market_desc;A vast, ornate tented structure where merchant guilds are formed and Israelite clan leaders convene to adjudicate trade disputes and alliances.;;;;;x
yob_grand_market_room_israelite_market;Grand Market Room;;;;;x
yob_grand_market_room_israelite_market_desc;A permanent structure of carved stone and timber, bustling with traders, scribes, and envoys. The center of Israelite commerce and unity, renowned across the steppes.;;;;;x
yob_israelite_grand_market;Israelite Grand Market;;;;;x
yob_israelite_grand_market_desc;The pride of the Israelite nomads: a legendary market complex, where all tribes convene for trade, diplomacy, and celebration. The heart of unity and prosperity for the Jewish people.;;;;;x
