#Code;English;French;German;Spanish;Russian;x
lvc_west_african_stick_corral;Stick Corral;;;;;x
lvc_west_african_stick_corral_desc;A simple enclosure of sharpened sticks and thorn branches, quickly assembled to pen livestock for a nomadic camps first herds.;;;;;x
lvc_west_african_wooden_pen;Wooden Pen;;;;;x
lvc_west_african_wooden_pen_desc;A more robust pen of timber and woven branches, improving herd safety and allowing greater livestock management.;;;;;x
lvc_west_african_wattle_shelter;Wattle Shelter;;;;;x
lvc_west_african_wattle_shelter_desc;Wattle and daub shelters provide shade and basic protection for animals, increasing herd survival and supply.;;;;;x
lvc_west_african_cattle_pavilion;Cattle Pavilion;;;;;x
lvc_west_african_cattle_pavilion_desc;Large pavilions of wood and thatch offer shelter for growing herds, and space for milking, birthing, and communal care.;;;;;x
lvc_west_african_expanded_pen;Expanded Pen;;;;;x
lvc_west_african_expanded_pen_desc;Enlarged and fortified pens with separate areas for calves and adults, improving herd health and management. Requires advanced construction knowledge.;;;;;x
lvc_west_african_guarded_yard;Guarded Yard;;;;;x
lvc_west_african_guarded_yard_desc;A large enclosure patrolled by herders and equipped with night fires and watch platforms, reducing livestock loss and increasing safety.;;;;;x
lvc_west_african_village_pen;Village Pen;;;;;x
lvc_west_african_village_pen_desc;A communal pen at the center of the encampment, reinforced with clay and earthworks, supporting large livestock populations and reflecting growing clan organization.;;;;;x
lvc_west_african_community_pavilion;Community Pavilion;;;;;x
lvc_west_african_community_pavilion_desc;A large, tented structure and festal space, the heart of the encampments livestock culture, boosting unity, trade, and celebration.;;;;;x
lvc_west_african_chiefs_pen;Chiefs Pen;;;;;x
lvc_west_african_chiefs_pen_desc;A grand pen reserved for the clans most prized herds and symbolic animals, guarded and maintained by appointed elders. A mark of prestige and leadership.;;;;;x
lvc_west_african_grand_pen;West African Grand Pen;;;;;x
lvc_west_african_grand_pen_desc;A sprawling, multi-chambered enclosure and festival ground, famed across the Sahel. Here, vast herds are cared for, deals are struck, and the clans greatness is displayed for all.;;;;;x
