#Code;English;French;German;Spanish;Russian;x
ugm_meso_stone_marker;Stone Marker;;;;;x
ugm_meso_stone_marker_desc;A simple sacred stone marker, denoting a gathering place for the clan and serving as a symbolic center during migration.;;;;;x
ugm_meso_stepped_mound;Stepped Mound;;;;;x
ugm_meso_stepped_mound_desc;A low, earthen mound with primitive steps, used for communal rituals and as a visible sign of unity for the wandering clan.;;;;;x
ugm_meso_temple_platform;Temple Platform;;;;;x
ugm_meso_temple_platform_desc;A raised stone platform, signifying the emergence of more permanent sacred spaces for rituals and clan gatherings.;;;;;x
ugm_meso_priests_chamber;Priests Chamber;;;;;x
ugm_meso_priests_chamber_desc;A small, stone-walled chamber for the priesthood, providing a place for sacred texts, relics, and the stewards of ritual.;;;;;x
ugm_meso_altar_stand;Altar Stand;;;;;x
ugm_meso_altar_stand_desc;A modest altar atop the temple platform, used for offerings and rites, fostering growing religious devotion among the people.;;;;;x
ugm_meso_sanctuary_pavilion;Sanctuary Pavilion;;;;;x
ugm_meso_sanctuary_pavilion_desc;A large decorated pavilion, sheltering important clan relics and serving as a focus for communal prayers and unity.;;;;;x
ugm_meso_holy_room;Holy Room;;;;;x
ugm_meso_holy_room_desc;A secluded, stone-lined holy room, where only the highest priests may enter. Used for vital clan ceremonies and decisions.;;;;;x
ugm_meso_diviners_hall;Diviners Hall;;;;;x
ugm_meso_diviners_hall_desc;A grand hall where diviners interpret omens and advise chieftains, strengthening clan cohesion and spiritual unity.;;;;;x
ugm_meso_sanctified_chamber;Sanctified Chamber;;;;;x
ugm_meso_sanctified_chamber_desc;A vast sanctified chamber, echoing with chanting and rituals, centralizing the clans spiritual heart and authority.;;;;;x
ugm_meso_grand_sacred_pyramid;Grand Sacred Pyramid;;;;;x
ugm_meso_grand_sacred_pyramid_desc;A monumental stepped pyramid, visible for miles, serving as the spiritual and political summit of the nomadic Mesoamerican clan.;;;;;x
