#Code;English;French;German;Spanish;Russian;x
nyf_indo_aryan_stick_fence_pen;Stick Fence Pen;;;;;x
nyf_indo_aryan_stick_fence_pen_desc;A rudimentary pen built with gathered sticks and brush, providing the most basic containment for livestock in unsettled steppe lands.;;;;;x
nyf_indo_aryan_wooden_kraal;Wooden Kraal;;;;;x
nyf_indo_aryan_wooden_kraal_desc;A roughly circular livestock enclosure of wooden stakes and branches, sheltering larger herds and reducing losses among the Indo-Aryan nomads.;;;;;x
nyf_indo_aryan_wattle_enclosure;Wattle Enclosure;;;;;x
nyf_indo_aryan_wattle_enclosure_desc;Interwoven reeds and saplings form a sturdy wattle enclosure, protecting livestock from predators and harsh weather, and supporting modest population growth.;;;;;x
nyf_indo_aryan_cattle_shelter;Cattle Shelter;;;;;x
nyf_indo_aryan_cattle_shelter_desc;A covered cattle shelter built with woven mats and timber roofing, offering protection from monsoon rains and increasing herd resilience and clan unity.;;;;;x
nyf_indo_aryan_expanded_kraal;Expanded Kraal;;;;;x
nyf_indo_aryan_expanded_kraal_desc;A significantly enlarged kraal with reinforced fencing, multiple pens, and basic watch posts, supporting a thriving nomadic population and healthier herds.;;;;;x
nyf_indo_aryan_guarded_yard;Guarded Yard;;;;;x
nyf_indo_aryan_guarded_yard_desc;A well-patrolled pen with raised platforms for sentries and a dedicated night watch, greatly improving herd safety and boosting manpower reserves.;;;;;x
nyf_indo_aryan_village_kraal;Village Kraal;;;;;x
nyf_indo_aryan_village_kraal_desc;A large, communal enclosure at the heart of the nomadic village, with earthwork ditches and communal granaries, supporting great expansion and organization.;;;;;x
nyf_indo_aryan_elders_pen;Elders Pen;;;;;x
nyf_indo_aryan_elders_pen_desc;A prestigious enclosure adjacent to the council tent, where the tribal elders oversee prized stock, inspiring loyalty and efficient resource management.;;;;;x
nyf_indo_aryan_chiefs_kraal;Chiefs Kraal;;;;;x
nyf_indo_aryan_chiefs_kraal_desc;A fortified kraal reserved for the chieftains herds, surrounded by a retinue of loyal guards and council, symbolizing authority, unity, and prosperity.;;;;;x
nyf_indo_aryan_grand_kraal;Indo-Aryan Grand Kraal;;;;;x
nyf_indo_aryan_grand_kraal_desc;The ultimate symbol of Indo-Aryan nomadism: a vast, semi-permanent kraal with monumental timber gates, ceremonial stones, and central assembly grounds, supporting a legendary population and unity.;;;;;x
