#Code;English;French;German;Spanish;Russian;x
zrg_ale_barrel_rack;Ale Barrel Rack;;;;;x
zrg_ale_barrel_rack_desc;A simple wooden rack, hastily constructed, for storing barrels of fermented grain beverage. Provides basic storage and keeps the clans drink supply steady on the move.;;;;;x
zrg_grain_mash_shed;Grain Mash Shed;;;;;x
zrg_grain_mash_shed_desc;A rough shed of hides and sticks, used for mashing and fermenting grain. Slightly increases output and supply storage for the clan, and keeps morale high.;;;;;x
zrg_simple_brew_hut;Simple Brew Hut;;;;;x
zrg_simple_brew_hut_desc;A semi-permanent hut where basic brewing is performed, providing a more reliable supply of ale for the clan and attracting new followers.;;;;;x
zrg_brewmaster_pavilion;Brewmasters Pavilion;;;;;x
zrg_brewmaster_pavilion_desc;A large, decorated tent where the brewmaster oversees the production of ale. The improved process increases clan unity and population, and helps keep the horde content on the march.;;;;;x
zrg_feasting_tent;Feasting Tent;;;;;x
zrg_feasting_tent_desc;A grand tent raised for clan gatherings and celebrations, strengthening unity and bolstering population through hospitality and revelry.;;;;;x
zrg_public_house;Public House;;;;;x
zrg_public_house_desc;A semi-permanent wooden structure where clansfolk gather to drink, share news, and strengthen communal bonds. Attracts more people and improves the mood of the horde, ensuring all feel welcome.;;;;;x
zrg_alehouse;Alehouse;;;;;x
zrg_alehouse_desc;A large and lively alehouse built with sturdy timber, providing a social center for warriors and traders. Known for boosting morale and attracting visitors from far and wide.;;;;;x
zrg_brewery_hall;Brewery Hall;;;;;x
zrg_brewery_hall_desc;A massive hall dedicated to the art of brewing, featuring multiple kettles, cellars, and gathering spaces. The heart of social and logistical life in the nomad camp.;;;;;x
zrg_merchant_tavern;Merchant Tavern;;;;;x
zrg_merchant_tavern_desc;A bustling tavern that caters to traveling merchants and dignitaries, bringing prosperity and fostering trade relations among the clans.;;;;;x
zrg_grand_brew_house;Grand Brew House;;;;;x
zrg_grand_brew_house_desc;The legendary Grand Brew House, a sprawling compound of halls, breweries, and feasting chambers, serving as the cultural and logistical heart of the nomad horde. Its fame draws people, wealth, and unity from across the steppe.;;;;;x
