#Code;English;French;German;Spanish;Russian;x
cip_central_germanic_gathering_patch;Gathering Patch;;;;;x
cip_central_germanic_gathering_patch_desc;A rough patch of trampled earth where the tribe gathers to speak and settle disputes. The simplest form of communal assembly.;;;;;x
cip_central_germanic_council_circle;Council Circle;;;;;x
cip_central_germanic_council_circle_desc;A ring of logs and stones forming a basic council area, granting more order and organization to tribal gatherings.;;;;;x
cip_central_germanic_speaking_stone;Speaking Stone;;;;;x
cip_central_germanic_speaking_stone_desc;A prominent stone set in the center of the moot, from which speakers address the clan. Symbolizes authority and tradition.;;;;;x
cip_central_germanic_delegate_tent;Delegates Tent;;;;;x
cip_central_germanic_delegate_tent_desc;A cluster of well-appointed tents for tribal delegates, ensuring protection and privacy during crucial assemblies.;;;;;x
cip_central_germanic_elder_pavilion;Elders Pavilion;;;;;x
cip_central_germanic_elder_pavilion_desc;A sturdy timber and hide pavilion reserved for the eldest and most respected, marking a new age of tribal governance.;;;;;x
cip_central_germanic_law_stone;Law Stone;;;;;x
cip_central_germanic_law_stone_desc;A carved monolith bearing the tribes laws, now central to all assemblies. Its presence strengthens unity and the legitimacy of rulings.;;;;;x
cip_central_germanic_moot_stand;Moot Stand;;;;;x
cip_central_germanic_moot_stand_desc;A raised wooden dais for the presiding chieftain and elders, offering clear authority and oversight at all council meetings.;;;;;x
cip_central_germanic_judgement_hall;Judgement Hall;;;;;x
cip_central_germanic_judgement_hall_desc;A semi-permanent timber hall for legal proceedings and the settling of disputes, solidifying the tribes rule of law.;;;;;x
cip_central_germanic_high_moot_pavilion;High Moot Pavilion;;;;;x
cip_central_germanic_high_moot_pavilion_desc;A grand, richly adorned pavilion hosting the most vital and influential clan gatherings, projecting strength and unity to all.;;;;;x
cip_central_germanic_realm_assembly_hall;Realm Assembly Hall;;;;;x
cip_central_germanic_realm_assembly_hall_desc;A permanent stone-and-timber hall, seat of the realms highest assembly, where every major law and alliance is forged.;;;;;x
