#Code;English;French;German;Spanish;Russian;x
coq_earthen_storehouse;Earthen Storehouse;;;;;x
coq_earthen_storehouse_desc;A simple pit or earthen mound, hastily dug to safeguard tithes and offerings, providing modest security and spiritual assurance against famine.;;;;;x
coq_wooden_granary;Wooden Granary;;;;;x
coq_wooden_granary_desc;A timber-framed granary, raised above the ground to shield sacred grain from pests, supporting the temples stores and attracting the faithful in times of scarcity.;;;;;x
coq_stone_granary;Stone Granary;;;;;x
coq_stone_granary_desc;Solid stone walls defend the temples bounty from thieves and vermin alike, symbolizing divine protection of the communitys sustenance.;;;;;x
coq_grain_drying_shed;Grain Drying Shed;;;;;x
coq_grain_drying_shed_desc;A covered, ventilated structure for drying and preserving grains, maximizing tithes and sustaining the temple through lean years.;;;;;x
coq_guarded_granary;Guarded Granary;;;;;x
coq_guarded_granary_desc;An imposing store protected by temple guards and sturdy doors, this granary is both a symbol of faith and a bastion of plenty in troubled times.;;;;;x
coq_multi_level_granary;Multi-Level Granary;;;;;x
coq_multi_level_granary_desc;A tall, layered granary with multiple stories, allowing for vast stores and improved organization of sacred offerings, further bolstering the temples wealth and defense.;;;;;x
coq_granary_loft;Granary Loft;;;;;x
coq_granary_loft_desc;A lofted granary with complex timberwork and improved storage, ensuring offerings remain dry, secure, and available for the needy. Requires improved construction techniques.;;;;;x
coq_secured_storehouse;Secured Storehouse;;;;;x
coq_secured_storehouse_desc;A granary reinforced with iron fittings and guarded by temple stewards, deterring theft and ensuring the temples influence during hardship.;;;;;x
coq_granary_tower;Granary Tower;;;;;x
coq_granary_tower_desc;A fortified granary tower serves as both granary and watchpost, protecting the temples stores from raiders and showing the community the strength of faith.;;;;;x
coq_sanctuary_granary_complex;Sanctuary Granary Complex;;;;;x
coq_sanctuary_granary_complex_desc;A sprawling, sanctified complex of interconnected granaries, chapels, and fortified halls, a beacon of spiritual security and prosperity in the land.;;;;;x
