#Code;English;French;German;Spanish;Russian;x
trz_camel_post;Camel Post;;;;;x
trz_camel_post_desc;A simple waystation marked by tethered camels and rough tents, serving as the first gathering point for traders and travelers on the steppes.;;;;;x
trz_merchants_tent;Merchants Tent;;;;;x
trz_merchants_tent_desc;A hardy canvas tent where goods are bartered and traveling merchants rest, attracting small-scale trade to the caravanserai.;;;;;x
trz_pack_animal_shelter;Pack Animal Shelter;;;;;x
trz_pack_animal_shelter_desc;Makeshift wooden pens and windbreaks for the protection and care of pack animals, increasing the capacity for trade caravans.;;;;;x
trz_walled_pavilion;Walled Pavilion;;;;;x
trz_walled_pavilion_desc;A large, semi-permanent pavilion with low defensive walls, offering greater shelter for travelers and protection for goods.;;;;;x
trz_market_room;Market Room;;;;;x
trz_market_room_desc;A timbered market hall within the caravanserai, allowing for organized trade, storage, and increased economic activity for passing caravans.;;;;;x
trz_trade_hall;Trade Hall;;;;;x
trz_trade_hall_desc;A permanent, stone-built hall for merchants and travelers, bustling with trade and commerce, and reinforcing the caravanserais central role in nomadic exchange.;;;;;x
trz_camel_stable;Camel Stable;;;;;x
trz_camel_stable_desc;Large, well-built stables for camels and horses, allowing for the maintenance of larger, healthier herds and swifter caravans.;;;;;x
trz_merchants_house;Merchants House;;;;;x
trz_merchants_house_desc;A fortified residence for wealthy merchants, attracting influential traders and increasing the prestige and wealth of the settlement.;;;;;x
trz_storage_pavilion;Storage Pavilion;;;;;x
trz_storage_pavilion_desc;A vast covered structure designed to securely hold the wealth and goods of passing caravans, enabling further expansion of trade and population.;;;;;x
trz_muslim_grand_caravanserai;Muslim Grand Caravanserai;;;;;x
trz_muslim_grand_caravanserai_desc;A monumental stone caravanserai with ornate courtyards, mosques, and bustling markets. This grand center of commerce and faith cements the region as a hub of Islamic trade, unity, and prosperity.;;;;;x
