#Code;English;French;German;Spanish;Russian;x
lmm_wooden_madrasa;Wooden Madrasa;;;;;x
lmm_wooden_madrasa_desc;A humble cluster of wooden structures, used for preliminary instruction and prayer by newly arrived scholars and students.;;;;;x
lmm_stone_madrasa;Stone Madrasa;;;;;x
lmm_stone_madrasa_desc;Basic stone classrooms and prayer halls, providing a more permanent and respected center for learning and worship.;;;;;x
lmm_teaching_madrasa;Teaching Madrasa;;;;;x
lmm_teaching_madrasa_desc;Simple lecture spaces and a growing community of instructors, increasingly attracting young scholars from nearby villages.;;;;;x
lmm_expanded_madrasa;Expanded Madrasa;;;;;x
lmm_expanded_madrasa_desc;Multiple wings for classrooms and dormitories, with advanced instruction and a growing reputation for scholarship.;;;;;x
lmm_madrasa_library;Madrasa Library;;;;;x
lmm_madrasa_library_desc;A dedicated library with rare manuscripts and scrolls, greatly enhancing the depth of study and attracting theologians from afar.;;;;;x
lmm_enclosed_madrasa;Enclosed Madrasa;;;;;x
lmm_enclosed_madrasa_desc;A fortified madrasa with stone walls and protected gates, ensuring both the safety and prestige of the scholarly community.;;;;;x
lmm_ornate_madrasa;Ornate Madrasa;;;;;x
lmm_ornate_madrasa_desc;Lavishly decorated halls, intricate calligraphy, and marble courtyards inspire awe, attracting patrons and increasing the influence of scholars.;;;;;x
lmm_madrasa_courtyard;Madrasa Courtyard;;;;;x
lmm_madrasa_courtyard_desc;A sprawling courtyard for debate, reflection, and public lectures, making the madrasa a center of civic and religious life.;;;;;x
lmm_grand_madrasa;Grand Madrasa;;;;;x
lmm_grand_madrasa_desc;A renowned institution of learning, with hundreds of scholars, vast libraries, and influence far beyond its walls.;;;;;x
lmm_madrasa_complex;Madrasa Complex;;;;;x
lmm_madrasa_complex_desc;A legendary campus, home to scholars, theologians, jurists, and poets. Its influence shapes the faith, learning, and culture of the realm.;;;;;x
