#Code;English;French;German;Spanish;Russian;x
hip_clay_lamp_stand;Clay Lamp Stand;;;;;x
hip_clay_lamp_stand_desc;A simple, portable clay stand for butter lamps, signifying the first efforts to bring light and unity to the nomad encampment.;;;;;x
hip_oil_lamp_hut;Oil Lamp Hut;;;;;x
hip_oil_lamp_hut_desc;A small, hide-covered hut dedicated to burning oil lamps for blessings, gathering families and boosting morale.;;;;;x
hip_butter_lamp_pavilion;Butter Lamp Pavilion;;;;;x
hip_butter_lamp_pavilion_desc;A larger felt pavilion where many butter lamps are lit, serving as the heart of communal gatherings and prayers.;;;;;x
hip_wick_room;Wick Room;;;;;x
hip_wick_room_desc;A sturdy wooden structure for lamp-wick storage and preparation, allowing longer ceremonies and larger gatherings.;;;;;x
hip_sanctified_hall;Sanctified Hall;;;;;x
hip_sanctified_hall_desc;A sanctified, semi-permanent wooden hall where major rituals are held and holy relics are displayed among brilliant lamps.;;;;;x
hip_expanded_pavilion;Expanded Pavilion;;;;;x
hip_expanded_pavilion_desc;A grand, multi-tent structure with detailed altars and lamp alcoves, drawing crowds from neighboring clans.;;;;;x
hip_priests_chamber;Priests Chamber;;;;;x
hip_priests_chamber_desc;Private quarters for the spiritual leader, adorned with sacred lamps; a place for meditation, guidance, and ritual preparation.;;;;;x
hip_blessed_room;Blessed Room;;;;;x
hip_blessed_room_desc;A stone-walled sanctum, built for hosting high ceremonies and storing relics, its lamps visible for miles at night.;;;;;x
hip_holy_lamp_hall;Holy Lamp Hall;;;;;x
hip_holy_lamp_hall_desc;A resplendent, multi-tiered hall with gilded lamp niches and sacred thangkas, drawing pilgrims from across the steppe.;;;;;x
hip_tibetan_lamp_sanctuary;Tibetan Lamp Sanctuary;;;;;x
hip_tibetan_lamp_sanctuary_desc;A monumental sanctuary atop a hill, its thousands of ever-burning lamps a beacon of unity and spiritual power over the Tibetan highlands.;;;;;x
