#Code;English;French;German;Spanish;Russian;x
krf_stone_bath;Stone Bath;;;;;x
krf_stone_bath_desc;A rough stone pool, lined with rocks and filled from a nearby spring. Built as a basic communal bath for nomads settling new land.;;;;;x
krf_water_storage;Water Storage;;;;;x
krf_water_storage_desc;Simple clay-lined pits and wooden barrels for storing vital water supplies, crucial for survival and growth in frontier conditions.;;;;;x
krf_ritual_pool;Ritual Pool;;;;;x
krf_ritual_pool_desc;A well-maintained pool used for ritual purification and strengthening clan identity. Decorated with carved stones and banners.;;;;;x
krf_heated_chamber;Heated Chamber;;;;;x
krf_heated_chamber_desc;A tent or wooden hut heated by hot stones or coals, providing warmth for baths in colder weather and boosting the health of the horde.;;;;;x
krf_changing_room;Changing Room;;;;;x
krf_changing_room_desc;A permanent timber structure with separated spaces for privacy, reflecting increased prosperity and sophistication.;;;;;x
krf_private_bath_pavilion;Private Bath Pavilion;;;;;x
krf_private_bath_pavilion_desc;A sumptuously decorated tent or wooden bathhouse reserved for the Khan and his family, signaling status and power.;;;;;x
krf_community_bathhouse;Community Bathhouse;;;;;x
krf_community_bathhouse_desc;A large, semi-permanent stone and wood structure with several pools and chambers for clan gatherings, rituals, and hygiene.;;;;;x
krf_family_bath_hall;Family Bath Hall;;;;;x
krf_family_bath_hall_desc;A grand bath hall with divided areas for different families and clans, featuring heated floors and decorated columns.;;;;;x
krf_sanctified_bath_room;Sanctified Bath Room;;;;;x
krf_sanctified_bath_room_desc;A sacred bath chamber blessed by shamans, with ritual adornments and rare incense, promoting unity and well-being.;;;;;x
krf_indian_ritual_bath;Indian Ritual Bath;;;;;x
krf_indian_ritual_bath_desc;A mighty stone bathhouse inspired by the ghats and ritual bathing of India, drawing pilgrims and boosting clan unity. Sacred waters are channeled through intricate aqueducts, and holy rites are performed daily.;;;;;x
