#Code;English;French;German;Spanish;Russian;x
tam_sacred_hearth;Sacred Hearth;;;;;x
tam_sacred_hearth_desc;A central firepit or simple stone hearth, serving as the communal gathering point for new settlers. Provides warmth, simple meals, and a focal point for city life.;;;;;x
tam_ceremonial_pit;Ceremonial Pit;;;;;x
tam_ceremonial_pit_desc;A sunken, stone-lined area for communal gatherings, public announcements, and local markets. The pits warmth draws crowds and supports city commerce.;;;;;x
tam_fire_platform;Fire Platform;;;;;x
tam_fire_platform_desc;A raised wooden or stone platform built around the hearth, allowing for oversight of activity and improved city organization. Attracts traders and eases local administration.;;;;;x
tam_ash_chamber;Ash Chamber;;;;;x
tam_ash_chamber_desc;A sealed stone chamber housing the ashes of many fires, symbolizing continuity and order. Enhanced with stonework and defensive barriers, it becomes a minor civic stronghold and administrative hub.;;;;;x
tam_embers_hall;Embers Hall;;;;;x
tam_embers_hall_desc;A sturdy civic hall built of masonry and timber, enclosing the old pit and chamber. Features meeting rooms, record storage, and secure vaults for trade and tax collections. The embers' glow is visible at night.;;;;;x
tam_flame_sanctuary;Flame Sanctuary;;;;;x
tam_flame_sanctuary_desc;A fortified urban building with arcaded courtyards, merchant halls, and guarded entrances. The flame is kept in a grand hall, providing prestige, commercial security, and a center for urban governance.;;;;;x
tam_fire_chamber;Fire Chamber;;;;;x
tam_fire_chamber_desc;A grand civic complex with stone vaults, guarded archives, and fire-lit corridors. Designed to withstand sieges and serve as a refuge for citizens and officials, it greatly enhances urban defense and commerce.;;;;;x
tam_guarded_atrium;Guarded Atrium;;;;;x
tam_guarded_atrium_desc;An imposing civic palace with a grand atrium, reinforced gates, mercantile offices, and patrol walkways. It is the seat of city authority, an economic powerhouse, and a formidable urban stronghold.;;;;;x
tam_sacred_fire_temple;Sacred Fire Temple;;;;;x
tam_sacred_fire_temple_desc;The citys ultimate civic and administrative center, with marble courts, high walls, and a great dome housing the eternal flame. It draws merchants and dignitaries from afar, ensures order, and guarantees the citys prosperity and defense.;;;;;x
tam_grand_fire_court;Grand Fire Court;;;;;x
tam_grand_fire_court_desc;A monumental urban complex, unrivaled in splendor and security. The Grand Fire Court is the heart of civic life, economic power, and urban defense, radiating wealth and authority across the entire province.;;;;;x
