#Code;English;French;German;Spanish;Russian;x
kxw_rope_corral_building;Rope Corral;;;;;x
kxw_rope_corral_desc;A hastily erected enclosure made from rope and wooden stakes, suitable for temporarily containing yaks on the open steppe.;;;;;x
kxw_yak_shelter_building;Yak Shelter;;;;;x
kxw_yak_shelter_desc;Simple lean-tos covered with hides to protect yaks from wind and snow, improving herd survival in harsh climates.;;;;;x
kxw_wattle_pen_building;Wattle Pen;;;;;x
kxw_wattle_pen_desc;A sturdier pen built from woven wattle and daub, providing improved security and supporting larger yak herds.;;;;;x
kxw_stone_paddock_building;Stone Paddock;;;;;x
kxw_stone_paddock_desc;A well-constructed paddock with stone walls, safeguarding the herd and enabling better herd management.;;;;;x
kxw_fenced_yard_building;Fenced Yard;;;;;x
kxw_fenced_yard_desc;An expansive yard bounded by strong timber fencing, supporting a thriving yak population and improved logistics.;;;;;x
kxw_breeders_pavilion_building;Breeders Pavilion;;;;;x
kxw_breeders_pavilion_desc;A specialized pavilion for yak breeders, focusing on selective breeding and herd health, greatly boosting yak productivity.;;;;;x
kxw_expanded_pen_building;Expanded Pen;;;;;x
kxw_expanded_pen_desc;A massive, organized pen system with dedicated caretakers and advanced yak management practices, sustaining unprecedented herd sizes.;;;;;x
kxw_village_yak_hall_building;Village Yak Hall;;;;;x
kxw_village_yak_hall_desc;A grand communal structure at the heart of the yak village, serving as a center for herders, feasts, and yak-related commerce.;;;;;x
kxw_chiefs_pen_building;Chiefs Pen;;;;;x
kxw_chiefs_pen_desc;A prestigious enclosure reserved for the clan chiefs prized yaks, symbolizing authority and attracting the best herders.;;;;;x
kxw_tibetan_yak_sanctuary_building;Tibetan Yak Sanctuary;;;;;x
kxw_tibetan_yak_sanctuary_desc;A legendary, fortified sanctuary of yak culture, faith, and power, revered by all nomads and a beacon for travelers and traders alike.;;;;;x
