#Code;English;French;German;Spanish;Russian;x
nco_mudbrick_houses;Mudbrick Houses;;;;;x
nco_mudbrick_houses_desc;Simple dwellings of sun-baked earth, clustered together for shelter at the edge of a growing settlement.;;;;;x
nco_timber_cottages;Timber Cottages;;;;;x
nco_timber_cottages_desc;Small wooden cottages raised by settlers, offering greater comfort and permanence than mudbrick shacks.;;;;;x
nco_wattle_and_daub_homes;Wattle-and-Daub Homes;;;;;x
nco_wattle_and_daub_homes_desc;Dwellings of woven wood and daubed clay, providing improved shelter, sanitation, and space for families.;;;;;x
nco_stone_dwellings;Stone Dwellings;;;;;x
nco_stone_dwellings_desc;Solid stone homes for prosperous burghers, offering greater safety and durability within the city walls.;;;;;x
nco_patrician_villas;Patrician Villas;;;;;x
nco_patrician_villas_desc;Lavish homes for the citys most influential citizens, set apart with gardens and private courtyards, hosting the citys elite.;;;;;x
nco_rowhouses;Rowhouses;;;;;x
nco_rowhouses_desc;Multi-family brick and stone structures built shoulder-to-shoulder, maximizing urban space and tax revenue.;;;;;x
nco_courtyard_estates;Courtyard Estates;;;;;x
nco_courtyard_estates_desc;Expansive estates with grand courtyards, administrative offices, and workshops, serving as centers of urban governance.;;;;;x
nco_noble_manors;Noble Manors;;;;;x
nco_noble_manors_desc;Stately manors for landed nobility, combining luxury residences with administrative halls and fortified gates.;;;;;x
nco_tenement_blocks;Tenement Blocks;;;;;x
nco_tenement_blocks_desc;Towering tenement blocks housing hundreds of city dwellers, enabling a bustling urban economy and formidable defense.;;;;;x
nco_grand_townhouses;Grand Townhouses;;;;;x
nco_grand_townhouses_desc;Magnificent multi-story townhouses, home to powerful merchant dynasties and urban nobility, dominating the citys skyline.;;;;;x
