#Code;English;French;German;Spanish;Russian;x
wnu_finno_ugric_tether_post;Tether Post;;;;;x
wnu_finno_ugric_tether_post_desc;A basic set of wooden posts and rope lines used to secure small groups of reindeer upon arrival in new territory. Provides minimal organization for herd management.;;;;;x
wnu_finno_ugric_herding_patch;Herding Patch;;;;;x
wnu_finno_ugric_herding_patch_desc;A small, cleared area with makeshift fencing and simple windbreaks, used to concentrate and manage larger groups of reindeer.;;;;;x
wnu_finno_ugric_snow_shelter;Snow Shelter;;;;;x
wnu_finno_ugric_snow_shelter_desc;A collection of low, snow-packed shelters and bark-covered lean-tos for protecting reindeer from the harshest winter winds.;;;;;x
wnu_finno_ugric_reindeer_fold;Reindeer Fold;;;;;x
wnu_finno_ugric_reindeer_fold_desc;A semi-permanent fold built from sturdy timber and reinforced snowbanks, designed to house and protect substantial herds through the winter season.;;;;;x
wnu_finno_ugric_fenced_pen;Fenced Pen;;;;;x
wnu_finno_ugric_fenced_pen_desc;A large, well-constructed wooden pen with double gates and watch platforms, allowing for efficient herd management and defense against predators.;;;;;x
wnu_finno_ugric_breeders_hut;Breeders Hut;;;;;x
wnu_finno_ugric_breeders_hut_desc;A specialized log cabin for expert breeders, with adjacent calving pens and storage for medicinal herbs, increasing herd fertility and manpower.;;;;;x
wnu_finno_ugric_reindeer_pavilion;Reindeer Pavilion;;;;;x
wnu_finno_ugric_reindeer_pavilion_desc;A grand, multi-tent complex with decorated poles and communal fire pits, serving as both a breeding center and a meeting ground for clan leaders to oversee herd prosperity.;;;;;x
wnu_finno_ugric_antler_hall;Antler Hall;;;;;x
wnu_finno_ugric_antler_hall_desc;A ceremonial longhouse adorned with reindeer antlers, symbolizing unity and prosperity. Used for feasts, council gatherings, and ritual celebrations.;;;;;x
wnu_finno_ugric_winter_grazing_yard;Winter Grazing Yard;;;;;x
wnu_finno_ugric_winter_grazing_yard_desc;A vast, well-fenced expanse for grazing reindeer even in deep winter, with food storage pits and patrol shelters ensuring supply and security.;;;;;x
wnu_finno_ugric_reindeer_sanctuary;Finno-Ugric Reindeer Sanctuary;;;;;x
wnu_finno_ugric_reindeer_sanctuary_desc;A sacred, protected reserve where the largest and most revered herds are kept under the watch of elders and shamans, symbolizing the spiritual heart of the clan.;;;;;x
