#Code;English;French;German;Spanish;Russian;x
cte_altaic_perch_post;Perch Post;;;;;x
cte_altaic_perch_post_desc;A makeshift wooden post for tethering hunting eagles, marking the beginning of the tribes eagle-taming tradition.;;;;;x
cte_altaic_eagle_stand;Eagle Stand;;;;;x
cte_altaic_eagle_stand_desc;A cluster of heavy timber stands, allowing for more eagles and greater prestige among the tribe.;;;;;x
cte_altaic_hunting_perch;Hunting Perch;;;;;x
cte_altaic_hunting_perch_desc;A raised wooden platform for eagle trainers and lookouts, supporting a larger population and faster mobilization.;;;;;x
cte_altaic_falconers_tent;Falconers Tent;;;;;x
cte_altaic_falconers_tent_desc;A grand felt tent for the master falconer, providing for the care and breeding of eagles and increased manpower.;;;;;x
cte_altaic_training_platform;Training Platform;;;;;x
cte_altaic_training_platform_desc;A robust wooden structure for intensive eagle training and horsemanship, fostering rapid growth and unity.;;;;;x
cte_altaic_eagle_pavilion;Eagle Pavilion;;;;;x
cte_altaic_eagle_pavilion_desc;A semi-permanent wooden pavilion, richly decorated, that serves as a center for eagle festivals and tribal gatherings.;;;;;x
cte_altaic_hunting_chamber;Hunting Chamber;;;;;x
cte_altaic_hunting_chamber_desc;A multi-chambered structure of wood and leather, hosting the greatest eagle masters and affording supreme horde growth.;;;;;x
cte_altaic_master_eyrie;Master Eyrie;;;;;x
cte_altaic_master_eyrie_desc;A fortified, multi-level wooden eyrie that houses the most prized eagles and serves as a rallying point for the entire clan.;;;;;x
cte_altaic_high_hunters_hall;High Hunters Hall;;;;;x
cte_altaic_high_hunters_hall_desc;A grand hall raised above the camp, reserved for the high hunter and clan elders, inspiring all warriors and boosting the clans spirit.;;;;;x
cte_altaic_eagle_sanctuary;Altaic Eagle Sanctuary;;;;;x
cte_altaic_eagle_sanctuary_desc;A legendary sanctuary at the heart of the Altaic camp, where eagles nest undisturbed and the unity of the clan is absolute.;;;;;x
