#Code;English;French;German;Spanish;Russian;x
vqk_dirt_track;Dirt Track;;;;;x
vqk_dirt_track_desc;A simple, hastily cleared path of packed earth, marking the first attempts at connecting outlying settlements and the city center. Useful for moving carts and basic traffic, but easily washed away and muddy in rain.;;;;;x
vqk_wooden_bridge;Wooden Bridge;;;;;x
vqk_wooden_bridge_desc;Rough-hewn timber bridges now span local streams, allowing trade and city access even during floods. The city begins to see more regular visitors and commerce.;;;;;x
vqk_gravel_path;Gravel Path;;;;;x
vqk_gravel_path_desc;Loose stone and gravel are spread atop the dirt, improving traction and reducing mud. Caravans and townsfolk find their way more easily, and trade picks up modestly.;;;;;x
vqk_stone_causeway;Stone Causeway;;;;;x
vqk_stone_causeway_desc;Elevated stone causeways are constructed, raising key stretches above floodwaters and marsh. The city becomes a regional hub for merchants and travelers alike.;;;;;x
vqk_paved_road;Paved Road;;;;;x
vqk_paved_road_desc;Expertly laid paving stones form a durable surface, enabling year-round travel and efficient movement of goods and people. The citys prosperity rises with increased trade and security.;;;;;x
vqk_market_bridge;Market Bridge;;;;;x
vqk_market_bridge_desc;A bustling stone bridge lined with stalls and shops, attracting merchants from afar. Trade flourishes, and the city becomes a vibrant center of commerce and exchange.;;;;;x
vqk_trade_artery;Trade Artery;;;;;x
vqk_trade_artery_desc;A major trade route with fortified checkpoints, improved signage, and regular patrols. Merchants travel safely and efficiently, and the citys coffers swell from tolls and bustling commerce.;;;;;x
vqk_cobblestone_avenue;Cobblestone Avenue;;;;;x
vqk_cobblestone_avenue_desc;Wide, meticulously laid cobblestone avenues cut through the city, lined with milestones and benches. These routes enable swift movement, impressive parades, and further economic growth.;;;;;x
vqk_covered_bridge;Covered Bridge;;;;;x
vqk_covered_bridge_desc;A grand, roofed bridge protects travelers and cargo from the elements, while watchtowers ensure security. The citys infrastructure is the envy of the region, and trade flourishes like never before.;;;;;x
vqk_great_roadway;Great Roadway;;;;;x
vqk_great_roadway_desc;A legendary feat of medieval engineering: wide, fortified, and beautifully maintained boulevards connect city gates, markets, and squares. Trade, security, and urban life reach their zenith.;;;;;x
