#Code;English;French;German;Spanish;Russian;x
grand_mercantile_repository;Grand Mercantile Repository;;;;;x
grand_mercantile_repository_desc;The apotheosis of trade architecture: an immense, marble-clad edifice with its own docks, archives, and private guards. Foreign envoys and trade princes meet within to broker the fates of empires.;;;;;x
banking_great_exchange_house;Great Exchange House;;;;;x
banking_great_exchange_house_desc;A legendary edifice of commerce, its halls echo with the clamor of international trade. Here, fortunes are made and lost among the worlds elite, fueling technological innovation and the prosperity of the realm.;;;;;x
elite_guard_barracks;Elite Guard Barracks;;;;;x
elite_guard_barracks_desc;A palatial fortress within the post, with lavish quarters, training halls, and armories exclusively for handpicked bodyguards and elite mercenaries.;;;;;x
grand_logistics_hub;Grand Logistics Hub;;;;;x
grand_logistics_hub_desc;A monumental trade citadel: walls bristling with guards, archives groaning with ledgers, palatial offices for merchant princes, and vast vaults for goods and coin. A marvel of bureaucratic excess and mercantile ambition.;;;;;x
dockside_transit_hub;Dockside Transit Hub;;;;;x
dockside_transit_hub_desc;A sprawling riverside or coastal compound with cranes, multiple docks, and bustling porters. Overseen by a master of ships, it serves as the nexus for all regional trade.;;;;;x
grand_merchant_palace;Grand Merchant Palace;;;;;x
grand_merchant_palace_desc;An opulent palace complex with marble halls, private docks, and treasury vaults. The seat of a mercantile dynasty, where fortunes are made, alliances forged, and the fate of entire trade empires decided.;;;;;x
banking_bankers_guildhall;Bankers' Guildhall;;;;;x
banking_bankers_guildhall_desc;A palatial meeting house where the leading financiers convene, set trade policy, and appoint lesser bankers. Its influence improves the standing of all merchants in the province and attracts investment from abroad.;;;;;x
hired_blade_compound;Hired Blade Compound;;;;;x
hired_blade_compound_desc;A sprawling network of fortified halls, smithies, and mercenary hostels, where the elite of hired swords negotiate contracts and train for coin.;;;;;x
great_commerce_arcade;Great Commerce Arcade;;;;;x
great_commerce_arcade_desc;A monumental, marble-pillared arcade enclosing the citys greatest traders, bankers, and foreign agents. The very heart of global commerce and innovation, its influence is felt far beyond the city walls.;;;;;x
royal_port_complex;Royal Port Complex;;;;;x
royal_port_complex_desc;A sprawling, fortified port district with marble harbormasters palace, embassies, luxury markets, and a private dock for royalty and dignitaries.;;;;;x
overland_trade_outpost;Overland Trade Outpost;;;;;x
overland_trade_outpost_desc;A bustling administrative compound, with offices for foreign agents, scribes, and local lords. Diverse goods are taxed and catalogued, and information flows freely to the benefit of all.;;;;;x
grand_embassy_forum;Grand Embassy Forum;;;;;x
grand_embassy_forum_desc;A legendary complex of mosaic-paved plazas, vaulted halls, and opulent pavilions, where the rulers of the world gather to shape the fate of continents.;;;;;x
