#Code;English;French;German;Spanish;Russian;x
pdt_slope_shelter;Slope Shelter;;;;;x
pdt_slope_shelter_desc;A basic collection of hide tents and windbreaks, hastily erected on the hillside for immediate shelter and protection against the elements.;;;;;x
pdt_terraced_pen;Terraced Pen;;;;;x
pdt_terraced_pen_desc;Stone-lined animal pens and simple terracing to prevent erosion, supporting herd growth and basic food stability.;;;;;x
pdt_hilltop_watch;Hilltop Watch;;;;;x
pdt_hilltop_watch_desc;A crude wooden lookout platform atop the hill, manned by sentries to warn of approaching threats and raiders.;;;;;x
pdt_reinforced_hill_camp;Reinforced Hill Camp;;;;;x
pdt_reinforced_hill_camp_desc;Earthen ramparts, ditches, and timber supports surround the camp, making it harder for enemies and the elements to threaten the nomads.;;;;;x
pdt_embankment_pavilion;Embankment Pavilion;;;;;x
pdt_embankment_pavilion_desc;A complex of pavilions and command tents, surrounded by sturdy earth embankments and guarded entrances. Designed for larger gatherings and strategic defense.;;;;;x
pdt_hillside_stockade;Hillside Stockade;;;;;x
pdt_hillside_stockade_desc;A wooden stockade rises atop the hill, with watch posts and reinforced gates, offering serious resistance to invaders and a symbol of clan unity.;;;;;x
pdt_raised_palisade;Raised Palisade;;;;;x
pdt_raised_palisade_desc;A double-ring of high timber palisades, with raised walkways and arrow slits, allowing for improved defense and coordination of the horde.;;;;;x
pdt_lookout_ridge;Lookout Ridge;;;;;x
pdt_lookout_ridge_desc;A fortified ridge, ringed by palisades and topped with watchtowers, gives unprecedented visibility and coordination to the nomad horde.;;;;;x
pdt_hillside_bastion;Hillside Bastion;;;;;x
pdt_hillside_bastion_desc;Stone bastions and reinforced towers line the camp, with permanent garrisons and communal halls for the warrior elite.;;;;;x
pdt_hill_fortress;Hill Fortress;;;;;x
pdt_hill_fortress_desc;An immense stone fortress dominates the hillside, with layered defenses, storerooms, and permanent quarters for the entire clan. A symbol of unbreakable strength.;;;;;x
