#Code;English;French;German;Spanish;Russian;x
jug_indo_aryan_open_table;Open Table;;;;;x
jug_indo_aryan_open_table_desc;A basic communal table set up under the sky, where traders and locals meet to barter wares and news. The humble beginnings of a nomadic marketplace.;;;;;x
jug_indo_aryan_barter_patch;Barter Patch;;;;;x
jug_indo_aryan_barter_patch_desc;A rough patch of ground marked for bartering, with mats and simple coverings providing shade. Local produce and goods are exchanged freely, growing clan interdependence.;;;;;x
jug_indo_aryan_traders_tent;Traders Tent;;;;;x
jug_indo_aryan_traders_tent_desc;A sturdy canvas tent raised for merchants and traders to shelter their wares and negotiate with travelers, attracting distant caravans and growing the local economy.;;;;;x
jug_indo_aryan_merchants_pavilion;Merchants Pavilion;;;;;x
jug_indo_aryan_merchants_pavilion_desc;A grand pavilion of colored cloth, supported by wooden frames, serving as a trading center for precious goods, with guarded storage and bustling trade.;;;;;x
jug_indo_aryan_market_stand;Market Stand;;;;;x
jug_indo_aryan_market_stand_desc;Wooden stalls lined up in orderly rows, each hosting a merchants goods. The market stand draws more traders and increases the prosperity of the nomad camp.;;;;;x
jug_indo_aryan_exchange_room;Exchange Room;;;;;x
jug_indo_aryan_exchange_room_desc;A semi-permanent wooden structure with an enclosed room for major transactions, record-keeping, and secure warehousing. Trusted by distant caravans and local chieftains alike.;;;;;x
jug_indo_aryan_market_hall;Market Hall;;;;;x
jug_indo_aryan_market_hall_desc;A large, enclosed hall of timber and stone, sheltering traders and visitors from the elements. The heart of Indo-Aryan nomad commerce, supporting vibrant trade and population growth.;;;;;x
jug_indo_aryan_guild_pavilion;Guild Pavilion;;;;;x
jug_indo_aryan_guild_pavilion_desc;A prestigious structure of carved wood and imported stone, where merchant guilds gather to decide trade policies, arbitrate disputes, and store their wealth, drawing dignitaries and artisans.;;;;;x
jug_indo_aryan_grand_market_room;Grand Market Room;;;;;x
jug_indo_aryan_grand_market_room_desc;A vast chamber of commerce, with stone vaults, painted pillars, and protected vaults for storing great wealth and goods. The regions most important trading nexus, supporting population and horde growth.;;;;;x
jug_indo_aryan_grand_market;Indo-Aryan Grand Market;;;;;x
jug_indo_aryan_grand_market_desc;A legendary market complex of marble, lacquered woods, and bronze, where the wealth of kingdoms is exchanged and the greatest hosts gather. A monument to Indo-Aryan prosperity and dominance.;;;;;x
