#Code;English;French;German;Spanish;Russian;x
ghn_wooden_study_room;Wooden Study Room;;;;;x
ghn_wooden_study_room_desc;A humble wooden chamber, hastily assembled for study and prayer. Provides a gathering place for scholars and scribes in frontier lands.;;;;;x
ghn_study_chamber;Study Chamber;;;;;x
ghn_study_chamber_desc;A modest, purpose-built chamber for advanced study, housing small collections of scrolls and manuscripts.;;;;;x
ghn_stone_study_house;Stone Study House;;;;;x
ghn_stone_study_house_desc;A sturdy stone-walled house dedicated to study and scriptural discussion, offering protection for sacred texts and students.;;;;;x
ghn_enclosed_study_hall;Enclosed Study Hall;;;;;x
ghn_enclosed_study_hall_desc;A well-fortified and expanded hall, providing secure space for scholars and increased capacity for learning and religious gatherings.;;;;;x
ghn_decorated_study_house;Decorated Study House;;;;;x
ghn_decorated_study_house_desc;A beautifully adorned study house, with painted walls and improved storage for sacred books. Attracts respected teachers and scribes.;;;;;x
ghn_blessed_study_house;Blessed Study House;;;;;x
ghn_blessed_study_house_desc;A house of learning famed for its blessed scholars and the wisdom produced within. Its influence extends throughout the realm.;;;;;x
ghn_sanctified_study_house;Sanctified Study House;;;;;x
ghn_sanctified_study_house_desc;A study house consecrated by revered religious leaders, its halls echo with sacred learning and wisdom.;;;;;x
ghn_ornate_study_house;Ornate Study House;;;;;x
ghn_ornate_study_house_desc;An elaborate center of study, featuring intricate woodwork and decorated halls. Serves as a beacon of learning and faith.;;;;;x
ghn_grand_study_house;Grand Study House;;;;;x
ghn_grand_study_house_desc;A grand institution of religious study, attracting sages from across distant lands. Its halls are filled with rare texts and vibrant debate.;;;;;x
ghn_great_synagogue_study_house;Great Synagogue Study House;;;;;x
ghn_great_synagogue_study_house_desc;A magnificent center of wisdom and faith, paired with the grandeur of a great synagogue. Its influence shapes the faith for generations.;;;;;x
