#Code;English;French;German;Spanish;Russian;x
jyl_sacred_tree_1;Sacred Tree;;;;;x
jyl_sacred_tree_1_desc;A lone, ancient tree stands at the heart of the clans new camp, considered sacred and a place for offerings and vows. Elders gather here to reinforce unity and tradition.;;;;;x
jyl_ritual_pavilion_1;Ritual Pavilion;;;;;x
jyl_ritual_pavilion_1_desc;A simple open-air pavilion of poles and animal skins, serving as a gathering place for seasonal rituals and feasts.;;;;;x
jyl_priests_room_1;Priests Room;;;;;x
jyl_priests_room_1_desc;A simple private tent for the clans priest, granting him a special place to meditate and store sacred items.;;;;;x
jyl_spirit_hut_1;Spirit Hut;;;;;x
jyl_spirit_hut_1_desc;A simple grass hut for the clan shaman to commune with the spirits and intercede for the tribe.;;;;;x
jyl_stone_circle_1;Stone Circle;;;;;x
jyl_stone_circle_1_desc;Rough stones are arranged in a circle, marking a place for gatherings, oaths, and the mediation of disputes. The circle channels the old ways.;;;;;x
jyl_ancestor_shrine_1;Ancestor Shrine;;;;;x
jyl_ancestor_shrine_1_desc;A small, makeshift hut is dedicated to honoring the clans ancestors, providing a location for remembrance and guidance.;;;;;x
jyl_diviners_chamber_1;Diviners Chamber;;;;;x
jyl_diviners_chamber_1_desc;A small tent for the diviner, where fortunes are cast and omens interpreted for the clans benefit.;;;;;x
jyl_sanctified_grove_1;Sanctified Grove;;;;;x
jyl_sanctified_grove_1_desc;A small area of untouched forest is set aside, marked with charms and offerings to the spirits of nature.;;;;;x
jyl_blessed_sanctuary_1;Blessed Sanctuary;;;;;x
jyl_blessed_sanctuary_1_desc;A modest tent, blessed by the clans priests, offering a place of protection and rest for the faithful.;;;;;x
jyl_east_african_ritual_grove_1;East African Ritual Grove;;;;;x
jyl_east_african_ritual_grove_1_desc;A secluded thicket is cleared and marked as a ritual grove, where the clan gathers to honor the spirits of the land and ancestors.;;;;;x
jyl_sacred_tree_2;Great Sacred Tree;;;;;x
jyl_sacred_tree_2_desc;The sacred tree is now surrounded by a cleared circle, with stones and offerings, drawing the clan together for larger rituals and key decisions.;;;;;x
jyl_ritual_pavilion_2;Decorated Ritual Pavilion;;;;;x
jyl_ritual_pavilion_2_desc;The pavilion is expanded, with colorful banners and symbols, allowing for larger clan gatherings and fostering unity.;;;;;x
jyl_priests_room_2;Priestly Sanctuary;;;;;x
jyl_priests_room_2_desc;An enclosed wooden room for the priest, with a small altar and space to receive visitors and offer blessings.;;;;;x
jyl_spirit_hut_2;Enlarged Spirit Hut;;;;;x
jyl_spirit_hut_2_desc;A larger, sturdier hut for the shaman, supporting more elaborate rituals and attracting seekers from the clan.;;;;;x
jyl_stone_circle_2;Carved Stone Ring;;;;;x
jyl_stone_circle_2_desc;The stones are now carved with sacred motifs, and the ring is used for major clan decisions and fertility rites.;;;;;x
jyl_diviners_chamber_2;Enclosed Diviners Chamber;;;;;x
jyl_diviners_chamber_2_desc;A private room for the diviner, with mystical implements and space for secret consultations.;;;;;x
jyl_ancestor_shrine_2;Enclosed Ancestor Shrine;;;;;x
jyl_ancestor_shrine_2_desc;The shrine is rebuilt with wood and clay, decorated with family relics and offerings to draw favor from the spirits.;;;;;x
jyl_sanctified_grove_2;Blessed Grove;;;;;x
jyl_sanctified_grove_2_desc;The grove is expanded, with ritual paths and hidden shrines, believed to bring fertility and fortune to the clan.;;;;;x
jyl_blessed_sanctuary_2;Sanctified Shelter;;;;;x
jyl_blessed_sanctuary_2_desc;A sturdier shelter, bearing holy symbols, where the clan gathers for prayer and reflection.;;;;;x
jyl_east_african_ritual_grove_2;Expanded Ritual Grove;;;;;x
jyl_east_african_ritual_grove_2_desc;The grove grows in size and importance, with wooden idols and ceremonial paths for sacred processions.;;;;;x
jyl_sacred_tree_3;Hallowed Ancestral Tree;;;;;x
jyl_sacred_tree_3_desc;Effigies and tokens of ancestors now hang from the tree, transforming it into a focal point of clan memory and spiritual legitimacy.;;;;;x
jyl_ritual_pavilion_3;Grand Ritual Pavilion;;;;;x
jyl_ritual_pavilion_3_desc;A grand pavilion, richly adorned, where seasonal rites and feasts gather the entire clan and strengthen collective resolve.;;;;;x
jyl_priests_room_3;Priestly Hall;;;;;x
jyl_priests_room_3_desc;A permanent structure, the priests hall hosts ceremonies and offers spiritual guidance to the clans leaders.;;;;;x
jyl_spirit_hut_3;Spirit Lodge;;;;;x
