#Code;English;French;German;Spanish;Russian;x
ofu_zoroastrian_assembly_stone_bench;Stone Bench;;;;;x
ofu_zoroastrian_assembly_stone_bench_desc;A rough semicircle of stone benches, hastily arranged for settlers to gather and settle disputes or make announcements. Provides a modest boost to local order and tax collection.;;;;;x
ofu_zoroastrian_assembly_judgement_shade;Judgement Shade;;;;;x
ofu_zoroastrian_assembly_judgement_shade_desc;A broad awning or tree-shaded area with stone seats where disputes are heard and minor contracts sealed. Encourages civic engagement and modestly increases tax and garrison.;;;;;x
ofu_zoroastrian_assembly_meeting_platform;Meeting Platform;;;;;x
ofu_zoroastrian_assembly_meeting_platform_desc;A sturdy wooden platform raised above the ground, serving as a focal point for town meetings and minor trade. Slightly improves local prosperity and city defense.;;;;;x
ofu_zoroastrian_assembly_debate_circle;Debate Circle;;;;;x
ofu_zoroastrian_assembly_debate_circle_desc;A stone-paved open circle with permanent seating for citizens and notables to debate civic issues, improving administration, trade, and security. Requires basic city construction techniques.;;;;;x
ofu_zoroastrian_assembly_council_terrace;Council Terrace;;;;;x
ofu_zoroastrian_assembly_council_terrace_desc;An elevated stone terrace overlooking the plaza, reserved for city council and notables. Strongly boosts tax collection, trade, and begins to attract scholars. Requires city construction II.;;;;;x
ofu_zoroastrian_assembly_verdict_hall;Verdict Hall;;;;;x
ofu_zoroastrian_assembly_verdict_hall_desc;A grand, roofed hall built of stone, where major civic decisions and disputes are settled. Drastically improves city tax, trade, and administration, and further increases garrison security. Requires city construction III.;;;;;x
ofu_zoroastrian_assembly_advisors_gallery;Advisors' Gallery;;;;;x
ofu_zoroastrian_assembly_advisors_gallery_desc;A two-tiered gallery for advisors, scribes, and important citizens, allowing for administration of city affairs and complex trade arrangements. Provides major boosts to tax, trade, and technological progress.;;;;;x
ofu_zoroastrian_assembly_portico;Assembly Portico;;;;;x
ofu_zoroastrian_assembly_portico_desc;A colonnaded portico enclosing the assembly complex, providing shelter, storage for records, and space for merchants. Vastly increases tax efficiency, trade, and city defense. Requires advanced construction and city status.;;;;;x
ofu_zoroastrian_assembly_wise_mens_court;Wise Mens Court;;;;;x
ofu_zoroastrian_assembly_wise_mens_court_desc;A majestic chamber for the wisest elders, councilors, and scribes, facilitating advanced governance and attracting trade. Profoundly boosts tax, trade, technology, and provides immense civic security.;;;;;x
ofu_zoroastrian_assembly_grand_assembly_plaza;Grand Assembly Plaza;;;;;x
ofu_zoroastrian_assembly_grand_assembly_plaza_desc;A vast, fully paved civic plaza surrounded by imposing structures for governance, trade, and gatherings. The zenith of urban civic achievement: unmatched tax, trade, and technological prosperity, with formidable urban defense.;;;;;x
