#Code;English;French;German;Spanish;Russian;x
knb_west_african_earthen_pit;Earthen Pit;;;;;x
knb_west_african_earthen_pit_desc;A simple pit dug into the earth to store surplus millet, lined with grass and covered with branches. Vulnerable to animals and spoilage, but an important first step in food storage for a nomadic camp.;;;;;x
knb_west_african_woven_basket;Woven Basket;;;;;x
knb_west_african_woven_basket_desc;Sturdy, portable baskets woven from grass and reeds, allowing for the storage and transport of millet. A modest improvement against pests and spoilage, and a hallmark of organized nomadic life.;;;;;x
knb_west_african_mudbrick_silo;Mudbrick Silo;;;;;x
knb_west_african_mudbrick_silo_desc;A cylindrical silo of sun-dried mudbrick, built above ground to protect grain from flooding and pests. Represents a major leap in nomadic food security and organization.;;;;;x
knb_west_african_raised_granary;Raised Granary;;;;;x
knb_west_african_raised_granary_desc;A wooden platform granary, elevated on stilts, keeps millet cool and dry. Access ladders discourage animals and thieves, marking the sophistication of a growing nomadic center.;;;;;x
knb_west_african_guarded_storehouse;Guarded Storehouse;;;;;x
knb_west_african_guarded_storehouse_desc;A fortified millet storehouse built from reinforced mudbrick and guarded by clan warriors, providing security and stability for stored grain and the population it feeds.;;;;;x
knb_west_african_rodent_proof_hut;Rodent-Proof Hut;;;;;x
knb_west_african_rodent_proof_hut_desc;Innovative storage huts with stone foundations and smooth plastered walls, purpose-built to keep rodents and pests at bay, ensuring food security and greater surplus.;;;;;x
knb_west_african_expanded_store;Expanded Store;;;;;x
knb_west_african_expanded_store_desc;A sprawling granary complex, featuring multiple storage buildings for millet, each carefully ventilated and guarded, supporting the prosperity and growth of a large nomadic clan.;;;;;x
knb_west_african_market_pavilion;Market Pavilion;;;;;x
knb_west_african_market_pavilion_desc;A large, shaded pavilion at the heart of the settlement, where millet is traded and bartered, encouraging commerce and attracting traders from distant lands.;;;;;x
knb_west_african_grain_exchange_hall;Grain Exchange Hall;;;;;x
knb_west_african_grain_exchange_hall_desc;A permanent, timber-framed hall serving as a center for millet exchange and clan gatherings. Facilitates large-scale trade and fosters unity among the people.;;;;;x
knb_west_african_millet_granary;West African Millet Granary;;;;;x
knb_west_african_millet_granary_desc;The grandest granary in the West African world: a vast, stone-faced complex, guarded and organized for the storage of immense millet reserves. A symbol of prosperity, security, and the unity of the clan.;;;;;x
