#Code;English;French;German;Spanish;Russian;x
vrr_carved_pebble_north_germanic_runestone_circle;Carved Pebble;;;;;x
vrr_carved_pebble_north_germanic_runestone_circle_desc;A humble stone, inscribed with the first runes, marking the clans new beginnings and uniting the people in shared tradition.;;;;;x
vrr_rune_stick_north_germanic_runestone_circle;Rune Stick;;;;;x
vrr_rune_stick_north_germanic_runestone_circle_desc;Simple wooden sticks, carved with protective runes, are distributed among the clans to foster unity and tradition.;;;;;x
vrr_wooden_rune_post_north_germanic_runestone_circle;Wooden Rune Post;;;;;x
vrr_wooden_rune_post_north_germanic_runestone_circle_desc;A tall wooden post, inscribed with clan history in runes, stands at the center of the camp, inspiring loyalty and memory.;;;;;x
vrr_stone_rune_marker_north_germanic_runestone_circle;Stone Rune Marker;;;;;x
vrr_stone_rune_marker_north_germanic_runestone_circle_desc;A substantial stone set upright, etched deeply with runes that chronicle deeds and honor, strengthening the clans spirit.;;;;;x
vrr_inscribed_boulder_north_germanic_runestone_circle;Inscribed Boulder;;;;;x
vrr_inscribed_boulder_north_germanic_runestone_circle_desc;A massive boulder, carved with complex runic tales, becomes the gathering place for council and ceremony.;;;;;x
vrr_carved_standing_stone_north_germanic_runestone_circle;Carved Standing Stone;;;;;x
vrr_carved_standing_stone_north_germanic_runestone_circle_desc;A towering monolith, adorned with intricate runes and clan emblems, commands respect and awe from all who see it.;;;;;x
vrr_runestone_circle_north_germanic_runestone_circle;Runestone Circle;;;;;x
vrr_runestone_circle_north_germanic_runestone_circle_desc;A ring of monumental stones, each bearing the names and deeds of the clans greatest, strengthens unity and draws visitors from afar.;;;;;x
vrr_runemasters_shrine_north_germanic_runestone_circle;Runemasters Shrine;;;;;x
vrr_runemasters_shrine_north_germanic_runestone_circle_desc;A sacred place where skilled runemasters gather, preserving the lore and guiding the people in matters of tradition and spirit.;;;;;x
vrr_saga_stone_monument_north_germanic_runestone_circle;Saga Stone Monument;;;;;x
vrr_saga_stone_monument_north_germanic_runestone_circle_desc;An awe-inspiring monument, its stones etched with the sagas of the clan, attracting distant kin and boosting the clans greatness.;;;;;x
vrr_high_runestone_sanctuary_north_germanic_runestone_circle;High Runestone Sanctuary;;;;;x
vrr_high_runestone_sanctuary_north_germanic_runestone_circle_desc;The ultimate sanctum, a majestic circle of mighty runestones, revered across the land as the seat of clan unity and ancestral power.;;;;;x
