#Code;English;French;German;Spanish;Russian;x
khp_steam_pit_slavic_bathhouse;Steam Pit;;;;;x
khp_steam_pit_slavic_bathhouse_desc;A shallow earthen pit lined with heated stones, where water is poured to create steam. Used by the clan for basic cleansing and ritual health among the nomads.;;;;;x
khp_hot_stone_hut_slavic_bathhouse;Hot Stone Hut;;;;;x
khp_hot_stone_hut_slavic_bathhouse_desc;A simple wooden hut built to trap heat from stones, providing a more controlled environment for cleansing and gathering. Offers improved unity and health for the tribe.;;;;;x
khp_smoke_sauna_slavic_bathhouse;Smoke Sauna;;;;;x
khp_smoke_sauna_slavic_bathhouse_desc;A sturdy log structure filled with wood smoke, used to purify the body and spirit. The experience strengthens clan bonds and resilience.;;;;;x
khp_birch_switch_room_slavic_bathhouse;Birch Switch Room;;;;;x
khp_birch_switch_room_slavic_bathhouse_desc;A chamber lined with birch branches for ritual cleansing and invigoration. Encourages stronger unity and increases the health and vigor of the people.;;;;;x
khp_wooden_bath_pavilion_slavic_bathhouse;Wooden Bath Pavilion;;;;;x
khp_wooden_bath_pavilion_slavic_bathhouse_desc;A spacious pavilion constructed of seasoned timber, accommodating larger groups for collective bathing and ceremonies. Greatly improves clan health and population growth.;;;;;x
khp_community_bathhouse_slavic_bathhouse;Community Bathhouse;;;;;x
khp_community_bathhouse_slavic_bathhouse_desc;A large, well-organized bathhouse of timber and stone, serving as a communal center for ritual, diplomacy, and health. Increases manpower and unity across the clan.;;;;;x
khp_warmed_hall_slavic_bathhouse;Warmed Hall;;;;;x
khp_warmed_hall_slavic_bathhouse_desc;A grand hall with advanced heating, serving as an important gathering place for deliberation and celebration. Promotes rapid growth and unity among the clan.;;;;;x
khp_heated_room_slavic_bathhouse;Heated Room;;;;;x
khp_heated_room_slavic_bathhouse_desc;A refined chamber with stone floors and advanced heating, providing a luxurious and healthful environment for the elite of the clan.;;;;;x
khp_family_bath_chamber_slavic_bathhouse;Family Bath Chamber;;;;;x
khp_family_bath_chamber_slavic_bathhouse_desc;An elegant private chamber for the leading families, with multiple pools and elaborate heating. Enhances prestige, health, and loyalty among the clans nobility.;;;;;x
khp_south_slavic_banya_slavic_bathhouse;South Slavic Banya;;;;;x
khp_south_slavic_banya_slavic_bathhouse_desc;The crowning achievement: a monumental stone and timber bathhouse with multiple halls, pools, and ritual spaces. Unites the tribe in health, prosperity, and pride, and serves as a symbol of the clans greatness.;;;;;x
