#Code;English;French;German;Spanish;Russian;x
its_west_slavic_clay_pit;Clay Pit;;;;;x
its_west_slavic_clay_pit_desc;A rough, hand-dug clay pit from which the clan gathers the raw earth needed for pottery. Essential for even the simplest wares, it fosters the beginnings of a pottery tradition and helps draw nomads together for shared labor.;;;;;x
its_west_slavic_potters_wheel;Potters Wheel;;;;;x
its_west_slavic_potters_wheel_desc;Simple wooden wheels and crude workbenches, easily assembled and transported, allow the clans artisans to shape clay more efficiently. This marks a leap in both the scale and quality of pottery, drawing more hands to the craft.;;;;;x
its_west_slavic_kiln_hut;Kiln Hut;;;;;x
its_west_slavic_kiln_hut_desc;A primitive hut of earth and timber shelters the clans first permanent kiln. This allows the firing of more durable wares and simple storage vessels, vital for nomadic logistics and supply.;;;;;x
its_west_slavic_pottery_pavilion;Pottery Pavilion;;;;;x
its_west_slavic_pottery_pavilion_desc;A large, tented pavilion where several potters can work and teach apprentices. It centralizes production, fosters community, and begins to attract traders from afar.;;;;;x
its_west_slavic_glazers_room;Glazers Room;;;;;x
its_west_slavic_glazers_room_desc;Constructed after the discovery of glazing techniques, this tented chamber allows for the creation of vibrant, water-resistant wares. Fine pottery, now more valuable, becomes a source of clan pride and lucrative trade.;;;;;x
its_west_slavic_fine_pottery_hall;Fine Pottery Hall;;;;;x
its_west_slavic_fine_pottery_hall_desc;A semi-permanent wooden structure lined with tapestries, this hall showcases the very best of Slavic pottery. It is a center for clan gatherings, rituals, and trade negotiations.;;;;;x
its_west_slavic_market_booth;Market Booth;;;;;x
its_west_slavic_market_booth_desc;Pottery and wares are displayed at a dedicated market booth on trade routes, drawing travelers and merchants. The booth increases trade and clan visibility in the region.;;;;;x
its_west_slavic_guild_pavillion;Guild Pavillion;;;;;x
its_west_slavic_guild_pavillion_desc;A grand tented meeting hall, the center of the Potters’ Guild, where the most skilled artisans gather to share knowledge, set prices, and oversee apprenticeships. Its influence extends across the region.;;;;;x
its_west_slavic_master_potters_chamber;Master Potters Chamber;;;;;x
its_west_slavic_master_potters_chamber_desc;A fortified wooden chamber reserved for the master potter, holding the clans most precious patterns and trade secrets. The chamber is a symbol of prestige and attracts ambitious artisans from afar.;;;;;x
its_west_slavic_pottery_guild;West Slavic Pottery Guild;;;;;x
its_west_slavic_pottery_guild_desc;A permanent, prestigious institution representing the height of West Slavic nomadic craftsmanship. The Guild regulates trade, certifies masters, and acts as a diplomatic hub for the clan, greatly enhancing its wealth and unity.;;;;;x
