#Code;English;French;German;Spanish;Russian;x
tig_central_african_spindle_patch;Spindle Patch;;;;;x
tig_central_african_spindle_patch_desc;A simple clearing where nomads gather to twist fibers into rough thread, marking the beginnings of textile craft among the tribe.;;;;;x
tig_central_african_weavers_tent;Weavers Tent;;;;;x
tig_central_african_weavers_tent_desc;A basic tent of woven grass, where skilled hands begin to organize and produce simple cloth for the tribes needs.;;;;;x
tig_central_african_loom_hut;Loom Hut;;;;;x
tig_central_african_loom_hut_desc;A wooden structure fitted with primitive looms, improving the tribes ability to create more varied and durable fabrics.;;;;;x
tig_central_african_dye_pavilion;Dye Pavilion;;;;;x
tig_central_african_dye_pavilion_desc;A gathering of covered stalls for dyeing fabrics with natural colors, adding value and distinction to tribal textiles.;;;;;x
tig_central_african_patterned_room;Patterned Room;;;;;x
tig_central_african_patterned_room_desc;A large, semi-permanent structure devoted to creating intricate woven patterns, symbolizing the tribes cultural identity.;;;;;x
tig_central_african_textile_chamber;Textile Chamber;;;;;x
tig_central_african_textile_chamber_desc;A well-defended, multi-purpose workshop where master weavers oversee advanced textile production and train apprentices.;;;;;x
tig_central_african_market_weaver_hall;Market Weaver Hall;;;;;x
tig_central_african_market_weaver_hall_desc;A bustling hall at the heart of the camp, where textiles are traded and new designs fetch high prices from passing merchants.;;;;;x
tig_central_african_guild_pavilion;Guild Pavilion;;;;;x
tig_central_african_guild_pavilion_desc;A grand pavilion for the weavers’ guild, regulating trade, ensuring quality, and fostering unity among the tribes artisans.;;;;;x
tig_central_african_master_weavers_room;Master Weavers Room;;;;;x
tig_central_african_master_weavers_room_desc;A private chamber for the master of the guild, where the most intricate and prized textiles are woven, inspiring the entire clan.;;;;;x
tig_central_african_weaving_guild;Central African Weaving Guild;;;;;x
tig_central_african_weaving_guild_desc;The pinnacle of nomadic textile culture: a permanent, legendary guild complex drawing artisans from all tribes, fueling prosperity and unity.;;;;;x
