#Code;English;French;German;Spanish;Russian;x
nvv_baltic_wooden_palisade;Wooden Palisade;;;;;x
nvv_baltic_wooden_palisade_desc;A basic ring of sharpened logs and timber, hastily erected as a first defense atop the hill, providing rudimentary protection and a sense of communal unity for the clan.;;;;;x
nvv_baltic_earthen_rampart;Earthen Rampart;;;;;x
nvv_baltic_earthen_rampart_desc;Mounds of earth reinforced with timber, forming a solid barrier against attackers. The rampart increases the defensive capability and allows for greater population sheltering within the hillfort.;;;;;x
nvv_baltic_hilltop_watch;Hilltop Watch;;;;;x
nvv_baltic_hilltop_watch_desc;A simple watch post of raised logs and platforms allowing early sight of invaders. This increases the clans ability to respond to threats and improves overall security.;;;;;x
nvv_baltic_stone_reinforcement;Stone Reinforcement;;;;;x
nvv_baltic_stone_reinforcement_desc;Stones are quarried and added to the ramparts, creating a much stronger, weather-resistant perimeter. This innovation marks a transition to more permanent fortifications.;;;;;x
nvv_baltic_stockaded_gate;Stockaded Gate;;;;;x
nvv_baltic_stockaded_gate_desc;A fortified entrance constructed from heavy timber and reinforced with ironwork, enabling better control of access and defense against sudden raids.;;;;;x
nvv_baltic_timber_tower;Timber Tower;;;;;x
nvv_baltic_timber_tower_desc;A tall wooden tower rises above the ramparts, giving sentinels a commanding view and archers an advantageous position, further improving defensive readiness.;;;;;x
nvv_baltic_defended_hall;Defended Hall;;;;;x
nvv_baltic_defended_hall_desc;The central hall is fortified, serving as a rallying point and place of last defense for the chief and his retinue, while housing larger gatherings to foster clan unity.;;;;;x
nvv_baltic_chiefs_bastion;Chiefs Bastion;;;;;x
nvv_baltic_chiefs_bastion_desc;A formidable bastion for the chieftain, built with thick stone walls and wooden walkways, signifying both authority and security for the clans leadership.;;;;;x
nvv_baltic_high_watchfort;High Watchfort;;;;;x
nvv_baltic_high_watchfort_desc;A towering fortification dominating the landscape, equipped with multiple watchtowers and reinforced gates. The hillfort becomes a true center of Baltic power and defense.;;;;;x
nvv_baltic_hillfort;Baltic Hillfort;;;;;x
nvv_baltic_hillfort_desc;The final evolution of the Baltic hillfort: a mighty, stone-walled complex with advanced defenses, storerooms, and command towers. The stronghold inspires the clan and anchors its power for generations.;;;;;x
