#Code;English;French;German;Spanish;Russian;x
rwq_camel_tether_post;Camel Tether Post;;;;;x
rwq_camel_tether_post_desc;A simple arrangement of posts and ropes for securing caravans' camels on the open steppe, allowing for basic rest and organization.;;;;;x
rwq_desert_tent;Desert Tent;;;;;x
rwq_desert_tent_desc;A large, weather-resistant tent woven from camel hair, offering shade and shelter to travelers and merchants passing through the harsh desert.;;;;;x
rwq_pack_animal_shelter;Pack Animal Shelter;;;;;x
rwq_pack_animal_shelter_desc;A rudimentary lean-to of palm fronds and timber, protecting horses, donkeys, and camels from the desert sun and sandstorms.;;;;;x
rwq_traders_pavilion;Traders’ Pavilion;;;;;x
rwq_traders_pavilion_desc;A spacious, multi-sectioned tent for itinerant traders to display wares, exchange news, and strike deals under the protection of the caravanserai.;;;;;x
rwq_walled_camp;Walled Camp;;;;;x
rwq_walled_camp_desc;A fortified enclosure of mudbrick and timber, providing protection for travelers, animals, and merchants against raiders and sandstorms.;;;;;x
rwq_merchants_hall;Merchants Hall;;;;;x
rwq_merchants_hall_desc;A permanent wooden hall, serving as headquarters for influential traders and a meeting site for merchant councils to negotiate trade and security.;;;;;x
rwq_camel_stable;Camel Stable;;;;;x
rwq_camel_stable_desc;A purpose-built adobe structure for housing camels, with watering troughs and feed bins, ensuring the health and readiness of caravan beasts.;;;;;x
rwq_market_pavilion;Market Pavilion;;;;;x
rwq_market_pavilion_desc;A covered market of wooden stalls and stone columns, attracting distant caravans and local traders to exchange rare goods and luxuries.;;;;;x
rwq_trade_storage_room;Trade Storage Room;;;;;x
rwq_trade_storage_room_desc;A secure stone chamber for safeguarding coin, rare wares, and merchant ledgers, reducing losses to theft and weather.;;;;;x
rwq_arabic_grand_caravanserai;Arabic Grand Caravanserai;;;;;x
rwq_arabic_grand_caravanserai_desc;A monumental, fortified caravanserai of stone and tile, with a vast inner courtyard, public baths, stables, and merchant lodgings—a vital hub for transcontinental trade and clan unity.;;;;;x
