#Code;English;French;German;Spanish;Russian;x
onp_baltic_fire_shrine_ember_patch;Ember Patch;;;;;x
onp_baltic_fire_shrine_ember_patch_desc;A humble ring of stones, sheltered by animal hides, where the first embers of the sacred fire are kept alive by the faithful. A symbol of unity for the Baltic nomads.;;;;;x
onp_baltic_fire_shrine_fire_ring;Fire Ring;;;;;x
onp_baltic_fire_shrine_fire_ring_desc;A reinforced fire ring of river stones and sturdy stakes, where tribes gather for rituals. The fires glow strengthens kinship and inspires reverence.;;;;;x
onp_baltic_fire_shrine_torch_stand;Torch Stand;;;;;x
onp_baltic_fire_shrine_torch_stand_desc;An array of torch stands encircle the sacred fire, lighting the encampment at night and guiding the faithful to communal rites.;;;;;x
onp_baltic_fire_shrine_flame_pavilion;Flame Pavilion;;;;;x
onp_baltic_fire_shrine_flame_pavilion_desc;A large, hide-draped pavilion shelters the sacred flames and hosts seasonal ceremonies. The priesthood begins to organize here, strengthening spiritual bonds.;;;;;x
onp_baltic_fire_shrine_priests_hut;Priests Hut;;;;;x
onp_baltic_fire_shrine_priests_hut_desc;A permanent wooden hut for the high priest or priestess, who tends the sacred flame and interprets omens. The clergy gains authority among the people.;;;;;x
onp_baltic_fire_shrine_sacred_flame_chamber;Sacred Flame Chamber;;;;;x
onp_baltic_fire_shrine_sacred_flame_chamber_desc;A timber-and-earth structure houses the eternal flame, watched day and night. Pilgrims journey here, deepening the faiths influence.;;;;;x
onp_baltic_fire_shrine_sanctified_hall;Sanctified Hall;;;;;x
onp_baltic_fire_shrine_sanctified_hall_desc;A grand wooden hall, adorned with sacred carvings, where the greatest feasts and rites are held. The faiths power unites the clans.;;;;;x
onp_baltic_fire_shrine_ancestors_shrine;Ancestors Shrine;;;;;x
onp_baltic_fire_shrine_ancestors_shrine_desc;A revered chamber lined with ancestor totems and offerings, honoring the spirits of those who came before. The communitys devotion deepens.;;;;;x
onp_baltic_fire_shrine_holy_fire_room;Holy Fire Room;;;;;x
onp_baltic_fire_shrine_holy_fire_room_desc;A fortified chamber with stone hearths holds the most powerful flame, tended only by chosen elders. Pilgrimages from afar increase the shrines prestige.;;;;;x
onp_baltic_fire_shrine_sanctuary;Baltic Fire Sanctuary;;;;;x
onp_baltic_fire_shrine_sanctuary_desc;A vast and awe-inspiring sanctuary of timber, stone, and sacred flame, where all the clans gather for the greatest festivals. The unity of the faithful is unbreakable.;;;;;x
