#Code;English;French;German;Spanish;Russian;x
ccu_stick_corral_caf;Stick Corral;;;;;x
ccu_stick_corral_caf_desc;A rough ring of sticks and thornbushes lashed together, offering minimal penning for livestock and the first step toward organized animal husbandry on the savanna.;;;;;x
ccu_wooden_pen_caf;Wooden Pen;;;;;x
ccu_wooden_pen_caf_desc;A sturdier enclosure built of rough-hewn logs, providing improved containment and some modest shelter for livestock. The community relies on this as a reliable food and trade source.;;;;;x
ccu_wattle_shelter_caf;Wattle Shelter;;;;;x
ccu_wattle_shelter_caf_desc;A pen reinforced with wattle fencing and simple thatched structures, providing shade and security for animals. Local clans begin to gather here, spurring greater unity and agricultural progress.;;;;;x
ccu_cattle_pavilion_caf;Cattle Pavilion;;;;;x
ccu_cattle_pavilion_caf_desc;A large, semi-permanent pavilion of timber and mud, with separate zones for different herds and improved access to water. Herding clans flourish, and the pen becomes a hub for livestock trade and communal gatherings.;;;;;x
ccu_expanded_pen_caf;Expanded Pen;;;;;x
ccu_expanded_pen_caf_desc;A vast compound of wooden fencing, stone markers, and animal shelters. Permanent staff tend to the herds, and the pen doubles as a seasonal market for neighboring clans. Construction requires advanced techniques.;;;;;x
ccu_guarded_yard_caf;Guarded Yard;;;;;x
ccu_guarded_yard_caf_desc;A fortified livestock yard guarded by clan warriors, with watchtowers and palisades. The pen is a symbol of prosperity and security, attracting skilled herdsmen and traders far and wide.;;;;;x
ccu_village_pen_caf;Village Pen;;;;;x
ccu_village_pen_caf_desc;An expansive, walled livestock enclosure at the heart of a prosperous village. Skilled herders, artisans, and guards maintain the herds, while the pen serves as the focal point for economic and social life.;;;;;x
ccu_community_pavilion_caf;Community Pavilion;;;;;x
ccu_community_pavilion_caf_desc;A grand communal livestock pavilion, surrounded by workshops, markets, and festival grounds. The pen supports thousands of animals and draws traders, warriors, and wise elders from distant clans.;;;;;x
ccu_chiefs_pen_caf;Chiefs Pen;;;;;x
ccu_chiefs_pen_caf_desc;A prestigious enclosure reserved for the clan chiefs prized herds, with stone-lined kraals, ceremonial huts, and guarded gates. The pen is both a status symbol and a center for tribal decision-making.;;;;;x
ccu_grand_pen_caf;Central African Grand Pen;;;;;x
ccu_grand_pen_caf_desc;The crowning achievement of nomadic livestock mastery: a legendary enclosure of monumental size, ringed by stone and wood, with dedicated staff, sacred shrines, and bustling markets. This pen is a beacon of prosperity, unity, and power for all Central African clans.;;;;;x
