#Code;English;French;German;Spanish;Russian;x
juo_herbal_patch;Herbal Patch;;;;;x
juo_herbal_patch_desc;A makeshift area for gathering and cultivating wild herbs, tended by wise-women and healers for basic remedies.;;;;;x
juo_medicine_tent;Medicine Tent;;;;;x
juo_medicine_tent_desc;A simple felt tent where basic treatments are administered and sick kin are isolated from the main camp.;;;;;x
juo_basic_infirmary;Basic Infirmary;;;;;x
juo_basic_infirmary_desc;A more organized space of hides and wooden frames, where the wounded and sick are tended and cared for by designated healers.;;;;;x
juo_shamanic_shelter;Shamanic Shelter;;;;;x
juo_shamanic_shelter_desc;A spiritual tent where shamans and healers perform rituals, offer herbal brews, and invoke the spirits to ward away disease.;;;;;x
juo_wound_care_pavilion;Wound Care Pavilion;;;;;x
juo_wound_care_pavilion_desc;A large, reinforced tent for treating injuries from battle, equipped with better supplies and more skilled healers.;;;;;x
juo_healers_hut;Healers Hut;;;;;x
juo_healers_hut_desc;A semi-permanent wooden hut where experienced healers reside, offering advanced care and herbal remedies for the clans ailments.;;;;;x
juo_remedy_room;Remedy Room;;;;;x
juo_remedy_room_desc;A sturdy, multi-purpose shelter where both traditional remedies and rudimentary surgical procedures are performed by clan healers.;;;;;x
juo_expanded_infirmary;Expanded Infirmary;;;;;x
juo_expanded_infirmary_desc;A large, well-constructed facility with space for many patients, managed by a staff of skilled herbalists and healers.;;;;;x
juo_recovery_hall;Recovery Hall;;;;;x
juo_recovery_hall_desc;A sophisticated, semi-permanent structure dedicated to the long-term recovery and care of the clans sick and wounded.;;;;;x
juo_grand_steppe_hospital;Grand Nomad Hospital;;;;;x
juo_grand_steppe_hospital_desc;A legendary center of nomadic medicine, combining advanced herbalism, surgery, and shamanic healing for the entire clan confederation.;;;;;x
