#Code;English;French;German;Spanish;Russian;x
wgx_arctic_snow_shelter;Snow Shelter;;;;;x
wgx_arctic_snow_shelter_desc;A crude, snow-packed structure offering basic shelter for the faithful against the harsh arctic winds.;;;;;x
wgx_arctic_ice_altar;Ice Altar;;;;;x
wgx_arctic_ice_altar_desc;An altar of packed snow and carved ice blocks, where rites are performed in the biting cold.;;;;;x
wgx_arctic_fur_lined_chapel;Fur-Lined Chapel;;;;;x
wgx_arctic_fur_lined_chapel_desc;A small wooden chapel, lined with animal furs to provide warmth and comfort for worshippers.;;;;;x
wgx_arctic_snowbank_sanctuary;Snowbank Sanctuary;;;;;x
wgx_arctic_snowbank_sanctuary_desc;A sturdy sanctuary of timber and packed snow, with dedicated space for meditation and communal prayer.;;;;;x
wgx_arctic_insulated_chapel;Insulated Chapel;;;;;x
wgx_arctic_insulated_chapel_desc;A stone chapel with layered insulation of moss, furs, and timber, providing protection from the cold and spiritual threats.;;;;;x
wgx_arctic_stone_arctic_chapel;Stone Arctic Chapel;;;;;x
wgx_arctic_stone_arctic_chapel_desc;A grand structure of heavy stone, with high walls and a great hearth, symbolizing the endurance of the faith in frozen lands.;;;;;x
wgx_arctic_enclosed_snow_sanctuary;Enclosed Snow Sanctuary;;;;;x
wgx_arctic_enclosed_snow_sanctuary_desc;A majestic sanctuary with double stone walls, intricate insulation, and domed snow roofs, hosting learned clergy and rituals.;;;;;x
wgx_arctic_heated_sanctuary;Heated Sanctuary;;;;;x
wgx_arctic_heated_sanctuary_desc;A marvel of arctic architecture, this sanctuary boasts advanced heating channels, vast libraries, and secure vaults for relics.;;;;;x
wgx_arctic_gathering_hall;Arctic Gathering Hall;;;;;x
wgx_arctic_gathering_hall_desc;An immense arctic hall, both fortress and house of worship, where pilgrims and clergy gather for great councils.;;;;;x
wgx_arctic_temple;Arctic Temple;;;;;x
wgx_arctic_temple_desc;A legendary temple, center of arctic faith, with monumental shrines, storied halls, and archives of ancient knowledge.;;;;;x
