#Code;English;French;German;Spanish;Russian;x
lut_prayer_stand;Prayer Stand;;;;;x
lut_prayer_stand_desc;A simple wooden platform for communal prayers, marking the beginnings of settled worship among the nomads.;;;;;x
lut_carved_post;Carved Post;;;;;x
lut_carved_post_desc;An ornately carved wooden post, used as a focal point for religious gatherings and sermons, reinforcing spiritual unity.;;;;;x
lut_stone_minbar;Stone Minbar;;;;;x
lut_stone_minbar_desc;A sturdy stone pulpit for delivering sermons, symbolizing growing permanence and religious authority in the camp.;;;;;x
lut_small_minaret;Small Minaret;;;;;x
lut_small_minaret_desc;A modest minaret rises above the tents, calling the faithful to prayer and enhancing the tribes piety.;;;;;x
lut_timber_minaret;Timber Minaret;;;;;x
lut_timber_minaret_desc;A tall timber minaret, visible from afar, signals the tribes devotion and strengthens religious cohesion among clans.;;;;;x
lut_walled_minaret;Walled Minaret;;;;;x
lut_walled_minaret_desc;A minaret surrounded by protective walls, serving both as a spiritual beacon and a sanctuary for the tribes faithful.;;;;;x
lut_high_minaret;High Minaret;;;;;x
lut_high_minaret_desc;A soaring minaret dominates the encampment, its calls echoing for miles and inspiring deep respect from all clans.;;;;;x
lut_decorated_minaret;Decorated Minaret;;;;;x
lut_decorated_minaret_desc;Lavishly adorned with intricate geometric designs, this minaret is a symbol of the tribes prosperity and faith.;;;;;x
lut_sanctified_minaret;Sanctified Minaret;;;;;x
lut_sanctified_minaret_desc;The minaret is sanctified by learned imams, radiating spiritual authority and binding the tribe in religious unity.;;;;;x
lut_muslim_minbar_tower;Muslim Minbar Tower;;;;;x
lut_muslim_minbar_tower_desc;An immense, awe-inspiring tower crowned by a grand minbar, center of religious life, inspiring unity, devotion, and respect from all nomads.;;;;;x
