#Code;English;French;German;Spanish;Russian;x
ryk_central_germanic_open_firepit;Open Firepit;;;;;x
ryk_central_germanic_open_firepit_desc;A basic circle of stones and earth, the heart of any fledgling camp. Provides warmth and a place for communal gathering, but little protection or comfort.;;;;;x
ryk_central_germanic_timber_hearth;Timber Hearth;;;;;x
ryk_central_germanic_timber_hearth_desc;A hastily constructed wooden shelter around the firepit, offering improved warmth and a focal point for the clan to gather and share resources.;;;;;x
ryk_central_germanic_stone_chimney_hut;Stone Chimney Hut;;;;;x
ryk_central_germanic_stone_chimney_hut_desc;A sturdier hut built with gathered stone and a proper chimney, providing reliable heat and shelter for a growing population.;;;;;x
ryk_central_germanic_gathering_room;Gathering Room;;;;;x
ryk_central_germanic_gathering_room_desc;A central timbered hall with benches and a long hearth, where the clan assembles for feasts, councils, and winter nights.;;;;;x
ryk_central_germanic_warmed_yurt;Warmed Yurt;;;;;x
ryk_central_germanic_warmed_yurt_desc;A large, insulated yurt with a central stone hearth, combining mobility with superior comfort and enabling the clan to thrive even in harsh seasons.;;;;;x
ryk_central_germanic_feasting_hall;Feasting Hall;;;;;x
ryk_central_germanic_feasting_hall_desc;A broad, timbered hall with a grand hearth, hosting feasts and councils for the entire clan. A center for unity and grandeur, its warmth draws all together.;;;;;x
ryk_central_germanic_story_room;Story Room;;;;;x
ryk_central_germanic_story_room_desc;A special chamber set aside within the hall, adorned with tapestries and hearths, where legends are told and traditions passed along, strengthening clan unity and morale.;;;;;x
ryk_central_germanic_communal_fireplace;Communal Fireplace;;;;;x
ryk_central_germanic_communal_fireplace_desc;A mighty stone hearth at the heart of the settlement, always burning, symbolizing unity and offering warmth, food, and morale to all.;;;;;x
ryk_central_germanic_great_hearth_hall;Great Hearth Hall;;;;;x
ryk_central_germanic_great_hearth_hall_desc;A monumental timber and stone hall, its grand hearth blazing year-round, where the clans greatest feasts, decisions, and celebrations are held.;;;;;x
ryk_central_germanic_royal_hearth_house;Royal Hearth House;;;;;x
ryk_central_germanic_royal_hearth_house_desc;The ultimate seat of power and tradition: a magnificent stone and timber palace with a colossal central hearth, symbolizing the unity, prosperity, and strength of the Central Germanic clan.;;;;;x
