#Code;English;French;German;Spanish;Russian;x
dji_jungle_clearing;Jungle Clearing;;;;;x
dji_jungle_clearing_desc;A simple patch of land cleared of dense jungle, serving as a rudimentary place of worship and gathering for the faithful.;;;;;x
dji_raised_shelter;Raised Shelter;;;;;x
dji_raised_shelter_desc;A basic wooden platform raised above the forest floor, offering protection from the elements and a focal point for spiritual gatherings.;;;;;x
dji_wooden_jungle_shrine;Wooden Jungle Shrine;;;;;x
dji_wooden_jungle_shrine_desc;A humble wooden shrine, adorned with sacred carvings and jungle flora, where priests lead prayers and rituals under the thick canopy.;;;;;x
dji_enclosed_jungle_hut;Enclosed Jungle Hut;;;;;x
dji_enclosed_jungle_hut_desc;A sturdier hut built of thick timber and vines, offering improved shelter and privacy for religious study and meditation.;;;;;x
dji_thatched_sanctuary;Thatched Sanctuary;;;;;x
dji_thatched_sanctuary_desc;A larger thatched sanctuary with open walls for airflow, housing sacred relics and attracting more followers for worship and learning.;;;;;x
dji_jungle_palisade;Jungle Palisade;;;;;x
dji_jungle_palisade_desc;A fortified palisade of sharpened logs encircling the sanctuary, protecting the faithful and their treasures from wild beasts and raiders.;;;;;x
dji_jungle_house;Jungle House;;;;;x
dji_jungle_house_desc;A large wooden house for priests and scholars, with separate chambers for learning, record-keeping, and religious instruction.;;;;;x
dji_jungle_gathering_hall;Jungle Gathering Hall;;;;;x
dji_jungle_gathering_hall_desc;A broad hall with carved pillars and woven mats, where large assemblies, councils, and festivals reinforce faith and community.;;;;;x
dji_jungle_sanctuary;Jungle Sanctuary;;;;;x
dji_jungle_sanctuary_desc;A richly decorated sanctuary with sacred idols, intricate wall paintings, and chambers for advanced theological study, drawing pilgrims from afar.;;;;;x
dji_jungle_temple;Jungle Temple;;;;;x
dji_jungle_temple_desc;A grand temple of stone and timber, its sanctum veiled in incense and jungle blooms, housing relics and supporting a learned priesthood that influences the faith of the entire region.;;;;;x
