#Code;English;French;German;Spanish;Russian;x
csa_steam_pit_nomad_bathhouse_1;Steam Pit;;;;;x
csa_steam_pit_nomad_bathhouse_1_desc;A primitive earth-dug pit lined with stones and canvas, heated by nearby fires. The early nomadic approach to communal cleansing and warmth, fostering basic unity and comfort at camp.;;;;;x
csa_hot_stone_hut_nomad_bathhouse_2;Hot Stone Hut;;;;;x
csa_hot_stone_hut_nomad_bathhouse_2_desc;A simple felt hut with heated stones at its heart, used by clansfolk to sweat out impurities and strengthen bonds. Offers improved health and unity over a basic steam pit.;;;;;x
csa_heated_pavilion_nomad_bathhouse_3;Heated Pavilion;;;;;x
csa_heated_pavilion_nomad_bathhouse_3_desc;A large, mobile tent with improved stone braziers and partitions, serving as a communal bathing and meeting place, greatly boosting morale and hygiene across the camp.;;;;;x
csa_bath_chamber_nomad_bathhouse_4;Bath Chamber;;;;;x
csa_bath_chamber_nomad_bathhouse_4_desc;A semi-permanent wooden bathhouse with dedicated steam chambers and changing areas. A mark of rising sophistication among the nomads, it draws families together and increases the tribes resilience.;;;;;x
csa_changing_room_nomad_bathhouse_5;Changing Room;;;;;x
csa_changing_room_nomad_bathhouse_5_desc;A refined facility with stone floors, private changing stalls, and improved steam distribution. The clans elite gather here, fostering unity and pride.;;;;;x
csa_warm_hall_nomad_bathhouse_6;Warm Hall;;;;;x
csa_warm_hall_nomad_bathhouse_6_desc;A large, permanent heated hall crafted from timber and brick, offering communal baths, massage rooms, and dedicated hearths—greatly enhancing population growth, unity, and supply capacity.;;;;;x
csa_scented_room_nomad_bathhouse_7;Scented Room;;;;;x
csa_scented_room_nomad_bathhouse_7_desc;A luxury chamber infused with aromatic herbs, decorated walls, and heated marble. The air itself encourages fertility and unity, making this a jewel of nomadic culture.;;;;;x
csa_family_bathhouse_nomad_bathhouse_8;Family Bathhouse;;;;;x
csa_family_bathhouse_nomad_bathhouse_8_desc;A grand structure with separate wings for families, ornate pools, and social spaces. Deepens clan bonds, enhances supply, and encourages rapid population growth.;;;;;x
csa_community_bath_hall_nomad_bathhouse_9;Community Bath Hall;;;;;x
csa_community_bath_hall_nomad_bathhouse_9_desc;A vast domed bath complex, richly adorned with mosaics and equipped for hundreds. The center of nomadic life and diplomacy, offering unmatched unity and growth.;;;;;x
csa_iranian_grand_hammam_nomad_bathhouse_10;Iranian Grand Hammam;;;;;x
csa_iranian_grand_hammam_nomad_bathhouse_10_desc;The pinnacle of bathhouse tradition: a monumental marble hammam featuring domed steam rooms, fountains, and gardens. Greatly impresses all clans, substantially boosts population, and is famed as a symbol of Persian-inspired nomadic splendor.;;;;;x
