#Code;English;French;German;Spanish;Russian;x
ojq_east_slavic_steam_pit;Steam Pit;;;;;x
ojq_east_slavic_steam_pit_desc;A primitive pit lined with stones, covered with animal hides and heated by a campfire, used by the tribe for steam cleansing and basic hygiene.;;;;;x
ojq_east_slavic_hot_stone_hut;Hot Stone Hut;;;;;x
ojq_east_slavic_hot_stone_hut_desc;A small, makeshift wooden hut with a central fire and hot stones, offering warmth and a rudimentary bathing space for nomads.;;;;;x
ojq_east_slavic_smoke_sauna;Smoke Sauna;;;;;x
ojq_east_slavic_smoke_sauna_desc;A partially sunken log structure with a smoke vent and stone benches, filled with aromatic birch smoke for both cleansing and ritual.;;;;;x
ojq_east_slavic_birch_switch_room;Birch Switch Room;;;;;x
ojq_east_slavic_birch_switch_room_desc;A more refined wooden bathhouse, with birch switches for traditional cleansing rituals, increasing the health and unity of the clan.;;;;;x
ojq_east_slavic_wooden_bath_pavilion;Wooden Bath Pavilion;;;;;x
ojq_east_slavic_wooden_bath_pavilion_desc;A solid log pavilion with benches, heated stones, and a separate cooling area, serving as a social nexus for larger gatherings.;;;;;x
ojq_east_slavic_family_banya;Family Banya;;;;;x
ojq_east_slavic_family_banya_desc;A large, multi-room bathhouse designed for extended families to gather and bathe together, fostering strong kinship bonds.;;;;;x
ojq_east_slavic_community_bathhouse;Community Bathhouse;;;;;x
ojq_east_slavic_community_bathhouse_desc;An imposing central bathhouse for the entire clan, with several heated chambers and communal spaces for feasting and negotiation.;;;;;x
ojq_east_slavic_warmed_hall;Warmed Hall;;;;;x
ojq_east_slavic_warmed_hall_desc;A fortified and well-ventilated hall, heated by advanced stone ovens, serving as a center for both hygiene and assembly during harsh winters.;;;;;x
ojq_east_slavic_heated_pavilion;Heated Pavilion;;;;;x
ojq_east_slavic_heated_pavilion_desc;An opulent, multi-chambered wooden structure with intricate heating channels and bathing pools, reserved for the elite and dignitaries.;;;;;x
ojq_east_slavic_grand_slavic_banya;Grand Slavic Banya;;;;;x
ojq_east_slavic_grand_slavic_banya_desc;A legendary bathhouse complex built of hewn timber and stone, with vast halls, ritual chambers, and healing pools—a symbol of unity, health, and prosperity for the entire clan.;;;;;x
