#Code;English;French;German;Spanish;Russian;x
min_steam_pit;Steam Pit;;;;;x
min_steam_pit_desc;A primitive earthwork pit lined with stones, heated by fire and filled with water to create soothing steam for weary nomads.;;;;;x
min_hot_stone_hut;Hot Stone Hut;;;;;x
min_hot_stone_hut_desc;A small, makeshift hut built from mud, reeds, and hides, featuring a stone hearth for heating water and creating therapeutic steam.;;;;;x
min_heated_pavilion;Heated Pavilion;;;;;x
min_heated_pavilion_desc;A spacious tented structure with heated stones and benches, serving as a communal gathering and cleansing area.;;;;;x
min_bath_chamber;Bath Chamber;;;;;x
min_bath_chamber_desc;A semi-permanent bath chamber, constructed from timber and daub, with sectioned pools and heated stones for greater comfort and hygiene.;;;;;x
min_changing_room;Changing Room;;;;;x
min_changing_room_desc;A private annex for changing and storing belongings, indicating growing sophistication in nomadic bath culture.;;;;;x
min_warm_hall;Warm Hall;;;;;x
min_warm_hall_desc;A timbered and insulated hall for communal relaxation after bathing, fostering clan unity and health.;;;;;x
min_scented_room;Scented Room;;;;;x
min_scented_room_desc;An aromatic retreat with herbal infusions and scented steam, improving the morale and well-being of all who partake.;;;;;x
min_family_bathhouse;Family Bathhouse;;;;;x
min_family_bathhouse_desc;A prestigious, clan-based bathhouse with separate pools for families, encouraging both health and fertility among the tribe.;;;;;x
min_community_bath_hall;Community Bath Hall;;;;;x
min_community_bath_hall_desc;A grand hall with heated floors and advanced waterworks, open to all clansfolk, providing unmatched hygiene and unity.;;;;;x
min_dravidian_grand_bathhouse;Dravidian Grand Bathhouse;;;;;x
min_dravidian_grand_bathhouse_desc;A monumental, stone-clad bathhouse inspired by the Dravidian tradition, complete with marble pools, aromatic chambers, and a meeting hall for tribal councils. A symbol of civilization and unity for all nomads in the realm.;;;;;x
