#Code;English;French;German;Spanish;Russian;x
kun_latin_prayer_alcove;Prayer Alcove;;;;;x
kun_latin_prayer_alcove_desc;A simple, makeshift shelter for Christian prayer, marked by a wooden cross and a cloth partition. Provides the most basic religious focus for nomadic Latin Christians.;;;;;x
kun_latin_stone_shrine;Stone Shrine;;;;;x
kun_latin_stone_shrine_desc;A small stone shrine built by the faithful, adorned with a painted icon and candles. Offers increased opportunities for worship and unity among the clan.;;;;;x
kun_latin_basilica_chamber;Basilica Chamber;;;;;x
kun_latin_basilica_chamber_desc;A wooden structure with simple benches and an altar, inspired by the basilica form. This space attracts more worshippers and strengthens clan unity.;;;;;x
kun_latin_worship_hall;Worship Hall;;;;;x
kun_latin_worship_hall_desc;A hall of worship, roofed and decorated, with space for gatherings and sermons. The clan is drawn together by regular liturgies and processions.;;;;;x
kun_latin_saints_niche;Saints Niche;;;;;x
kun_latin_saints_niche_desc;A carefully carved niche holds relics or icons of revered saints, attracting pilgrims and fostering a sense of holy purpose within the clan.;;;;;x
kun_latin_apsidal_chapel;Apsidal Chapel;;;;;x
kun_latin_apsidal_chapel_desc;A semi-permanent wooden chapel built with an apsidal eastern end for liturgies. The structure attracts priests and reinforces the clans religious prestige.;;;;;x
kun_latin_canopied_altar;Canopied Altar;;;;;x
kun_latin_canopied_altar_desc;A fine altar protected by a wooden canopy, richly decorated with religious motifs. It draws both reverence and influence for the clans spiritual leaders.;;;;;x
kun_latin_bishops_sanctuary;Bishops Sanctuary;;;;;x
kun_latin_bishops_sanctuary_desc;A secure sanctuary for visiting bishops or clergy, complete with private chapels and administrative space. It greatly enhances clan religious authority and unity.;;;;;x
kun_latin_holy_reliquary_room;Holy Reliquary Room;;;;;x
kun_latin_holy_reliquary_room_desc;A fortified chamber to house sacred relics and treasures, attracting pilgrims from afar and greatly increasing the clans spiritual reputation.;;;;;x
kun_latin_grand_latin_chapel;Grand Latin Chapel;;;;;x
kun_latin_grand_latin_chapel_desc;A grand permanent chapel, with stone foundation and ornate furnishings, serving as the spiritual heart of the clan. Its influence draws the faithful from many leagues and cements the clans religious primacy.;;;;;x
