#Code;English;French;German;Spanish;Russian;x
zir_ancestor_pole;Ancestor Pole;;;;;x
zir_ancestor_pole_desc;A sacred wooden pole adorned with ancestral carvings, serving as a focal point for clan gatherings and traditions.;;;;;x
zir_spirit_stand;Spirit Stand;;;;;x
zir_spirit_stand_desc;A simple wooden stand holding tokens and relics believed to house the spirits of ancestors, drawing the clan together.;;;;;x
zir_totem_pavilion;Totem Pavilion;;;;;x
zir_totem_pavilion_desc;A sturdy canvas pavilion encircling totems and ritual objects, offering shelter for ceremonies and strengthening unity.;;;;;x
zir_priests_room;Priests Room;;;;;x
zir_priests_room_desc;A secure mud-and-thatch chamber reserved for the clans spiritual leader, where rituals and blessings are prepared.;;;;;x
zir_blessed_hut;Blessed Hut;;;;;x
zir_blessed_hut_desc;A revered hut constructed from fine wood and clay, adorned with sacred emblems and guarded by elders. Only accessible by those deemed worthy.;;;;;x
zir_ritual_chamber;Ritual Chamber;;;;;x
zir_ritual_chamber_desc;A spacious, ornately decorated earthen chamber, equipped for grand ceremonies and rites to unite the entire clan.;;;;;x
zir_sanctuary_pavilion;Sanctuary Pavilion;;;;;x
zir_sanctuary_pavilion_desc;A fortified pavilion at the heart of the camp, where clan leaders and spiritual elders gather to resolve disputes and set policy.;;;;;x
zir_diviners_hall;Diviners Hall;;;;;x
zir_diviners_hall_desc;A grand hall of carved hardwood and painted mud, where wise diviners consult spirits to guide the clans destiny.;;;;;x
zir_holy_room;Holy Room;;;;;x
zir_holy_room_desc;The most revered structure, this sanctum is the spiritual heart of the clan, where major decisions are ratified in solemn ritual.;;;;;x
zir_central_african_ritual_hut;Central African Ritual Hut;;;;;x
zir_central_african_ritual_hut_desc;A legendary structure, its very presence cements the unity of all clans, granting unmatched prestige and clan sentiment to the ruler.;;;;;x
