#Code;English;French;German;Spanish;Russian;x
tes_tibetan_wool_shearing_stand;Wool Shearing Stand;;;;;x
tes_tibetan_wool_shearing_stand_desc;A basic open-air frame for shearing sheep, providing the simplest means of collecting wool among the Tibetan nomads.;;;;;x
tes_tibetan_wool_spindle_patch;Spindle Patch;;;;;x
tes_tibetan_wool_spindle_patch_desc;A cluster of simple tents where families gather to spin wool into yarn, enhancing textile production for the clan.;;;;;x
tes_tibetan_wool_weavers_tent;Weavers Tent;;;;;x
tes_tibetan_wool_weavers_tent_desc;Larger tented structures where skilled weavers work together, increasing the clans textile output and supply capacity.;;;;;x
tes_tibetan_wool_loom_hut;Loom Hut;;;;;x
tes_tibetan_wool_loom_hut_desc;A semi-permanent wooden hut with several looms, allowing the clan to process greater quantities of wool into valuable cloth.;;;;;x
tes_tibetan_wool_dye_pavilion;Dye Pavilion;;;;;x
tes_tibetan_wool_dye_pavilion_desc;A large, colorful pavilion where natural dyes are prepared and applied to wool, producing more valuable textiles and attracting traders.;;;;;x
tes_tibetan_wool_textile_chamber;Textile Chamber;;;;;x
tes_tibetan_wool_textile_chamber_desc;A fortified yurt-chamber where woolen products are stored, worked, and traded, greatly expanding the clans economic and logistic power.;;;;;x
tes_tibetan_wool_fine_cloth_hall;Fine Cloth Hall;;;;;x
tes_tibetan_wool_fine_cloth_hall_desc;A grand hall of tented and semi-permanent structures where the finest Tibetan cloth is produced, attracting caravans and boosting clan prestige.;;;;;x
tes_tibetan_wool_guild_pavilion;Guild Pavilion;;;;;x
tes_tibetan_wool_guild_pavilion_desc;A prestigious guild tent complex, centralizing skilled craftsmen and regulating trade, further boosting the clans wealth and unity.;;;;;x
tes_tibetan_wool_master_weavers_room;Master Weavers Room;;;;;x
tes_tibetan_wool_master_weavers_room_desc;A private enclosure for the most skilled weavers, producing legendary textiles and greatly improving clan influence and trade.;;;;;x
tes_tibetan_wool_guild;Tibetan Wool Guild;;;;;x
tes_tibetan_wool_guild_desc;The ultimate seat of textile mastery: a complex of tents, halls, and trading posts representing the heart of the Tibetan wool trade, granting unrivaled economic, social, and political power to the clan.;;;;;x
