#Code;English;French;German;Spanish;Russian;x
vpl_field_clearing;Field Clearing;;;;;x
vpl_field_clearing_desc;Basic earthworks and brush removal, opening the plains for spiritual gatherings and humble cultivation.;;;;;x
vpl_plains_garden;Plains Garden;;;;;x
vpl_plains_garden_desc;A simple garden of herbs and sacred plants, tended by novices for meditation and learning.;;;;;x
vpl_irrigated_plot;Irrigated Plot;;;;;x
vpl_irrigated_plot_desc;Small canals and ditches guide life-giving water to the garden plots, improving both harvest and religious ceremony.;;;;;x
vpl_crop_storage_shed;Crop Storage Shed;;;;;x
vpl_crop_storage_shed_desc;Rough wooden sheds for storing sacred grain and offerings, guarding against spoilage and theft.;;;;;x
vpl_enclosed_fields;Enclosed Fields;;;;;x
vpl_enclosed_fields_desc;Low stone walls and hedges enclose the temples fields, protecting crops and pilgrims alike.;;;;;x
vpl_fertile_plains_farm;Fertile Plains Farm;;;;;x
vpl_fertile_plains_farm_desc;A well-tended farm, employing crop rotation and overseen by learned clergy to maximize both yield and spiritual merit.;;;;;x
vpl_fallow_rotation_fields;Fallow Rotation Fields;;;;;x
vpl_fallow_rotation_fields_desc;The cycle of rest and renewal is embraced, increasing harvests and the temples standing as a center of agricultural wisdom.;;;;;x
vpl_expanded_grain_fields;Expanded Grain Fields;;;;;x
vpl_expanded_grain_fields_desc;Vast fields yield abundance, with granaries and millstones guided by temple wisdom and holy ritual.;;;;;x
vpl_plains_manor_farm;Plains Manor Farm;;;;;x
vpl_plains_manor_farm_desc;The temples estate is managed as a grand manor, with laborers, scribes, and priests ensuring bounty and spiritual guidance for all.;;;;;x
vpl_plains_agricultural_estate;Plains Agricultural Estate;;;;;x
vpl_plains_agricultural_estate_desc;A vast and wealthy agricultural estate, seat of spiritual leadership and rural prosperity, revered across the realm.;;;;;x
