#Code;English;French;German;Spanish;Russian;x
eyu_indo_aryan_ember_stand;Ember Stand;;;;;x
eyu_indo_aryan_ember_stand_desc;A humble, makeshift fire pit, tended by the clans elders, marking the first Indo-Aryan sacred fire on the steppes. Used for daily rituals and as a gathering point.;;;;;x
eyu_indo_aryan_torch_post;Torch Post;;;;;x
eyu_indo_aryan_torch_post_desc;A set of upright torches encircling the main camp, symbolizing the Indo-Aryan journey and illuminating the sacred grounds each evening.;;;;;x
eyu_indo_aryan_fire_pit;Fire Pit;;;;;x
eyu_indo_aryan_fire_pit_desc;A larger, stone-lined pit for ritual offerings, drawing in the faithful and strengthening communal ties around the sacred Indo-Aryan flame.;;;;;x
eyu_indo_aryan_flame_pavilion;Flame Pavilion;;;;;x
eyu_indo_aryan_flame_pavilion_desc;A tented, wind-guarded structure for sacred fire rites and gatherings, attended by priests and clan leaders for grander ceremonies.;;;;;x
eyu_indo_aryan_priests_room;Priests Room;;;;;x
eyu_indo_aryan_priests_room_desc;A dedicated enclosure for the clans fire priests, storing ritual implements and providing a sanctum for Indo-Aryan spiritual guidance.;;;;;x
eyu_indo_aryan_altar_chamber;Altar Chamber;;;;;x
eyu_indo_aryan_altar_chamber_desc;A portable wooden altar, richly decorated, for major sacrifices and clan-wide rituals, reinforcing Indo-Aryan faith on the move.;;;;;x
eyu_indo_aryan_sanctified_hall;Sanctified Hall;;;;;x
eyu_indo_aryan_sanctified_hall_desc;A semi-permanent hall adorned with banners and icons, where Indo-Aryan fire rituals and councils are held, fostering unity and respect.;;;;;x
eyu_indo_aryan_holy_fire_pavilion;Holy Fire Pavilion;;;;;x
eyu_indo_aryan_holy_fire_pavilion_desc;A grand, timber-framed ritual hall with an ornate hearth, attended by Indo-Aryan priests for legendary ceremonies and oaths.;;;;;x
eyu_indo_aryan_blessed_sanctuary;Blessed Sanctuary;;;;;x
eyu_indo_aryan_blessed_sanctuary_desc;A revered sanctuary of stone and wood, home to the Indo-Aryan sacred fire, drawing pilgrims and increasing the clans spiritual prestige.;;;;;x
eyu_indo_aryan_fire_temple;Indo-Aryan Fire Temple;;;;;x
eyu_indo_aryan_fire_temple_desc;A monumental, stone-built fire temple, seat of Indo-Aryan faith on the steppes; a center of unity, learning, and devotion for generations.;;;;;x
