#Code;English;French;German;Spanish;Russian;x
ppo_rock_shelter;Rock Shelter;;;;;x
ppo_rock_shelter_desc;A crude shelter of natural stone overhangs, offering basic protection for the first hermits seeking solitude in the mountains.;;;;;x
ppo_mountain_hut;Mountain Hut;;;;;x
ppo_mountain_hut_desc;A simple wooden hut built with rough timber, providing shelter and space for meditation in the highlands.;;;;;x
ppo_stone_hermitage;Stone Hermitage;;;;;x
ppo_stone_hermitage_desc;A sturdier dwelling of gathered stones, with a small altar, allowing a hermit to live and pray in relative comfort and safety.;;;;;x
ppo_cliffside_cell;Cliffside Cell;;;;;x
ppo_cliffside_cell_desc;A solitary cell carved into the mountains edge, symbolizing the ascetics devotion and spiritual endurance.;;;;;x
ppo_grotto_chapel;Grotto Chapel;;;;;x
ppo_grotto_chapel_desc;A humble chapel built into a natural cave, where a few disciples may gather for prayer and guidance.;;;;;x
ppo_mountain_shrine;Mountain Shrine;;;;;x
ppo_mountain_shrine_desc;A revered shrine atop a high crag, drawing pilgrims and increasing the spiritual importance of the site.;;;;;x
ppo_high_hermitage;High Hermitage;;;;;x
ppo_high_hermitage_desc;A fortified stone hermitage, housing a small community of anchorites and serving as a beacon of faith in the mountains.;;;;;x
ppo_sanctuary_in_the_heights;Sanctuary in the Heights;;;;;x
ppo_sanctuary_in_the_heights_desc;A secluded sanctuary with multiple cells and a small library, attracting visiting monks and pilgrims seeking wisdom and peace.;;;;;x
ppo_mountain_retreat;Mountain Retreat;;;;;x
ppo_mountain_retreat_desc;A well-fortified retreat with stone walls, scriptorium, and guesthouses for pilgrims, offering spiritual defense and fostering scholarship in the heights.;;;;;x
ppo_mountain_monastery;Mountain Monastery;;;;;x
ppo_mountain_monastery_desc;A renowned monastery, renowned for its learning and piety, protected by formidable walls and known throughout Christendom as a bastion of faith and wisdom in the mountains.;;;;;x
