#Code;English;French;German;Spanish;Russian;x
ler_north_germanic_berserker_warrior_firepit;Warrior Firepit;;;;;x
ler_north_germanic_berserker_warrior_firepit_desc;A rough ring of stones and logs, this firepit is where the first arrivals gather to tell tales, share warmth, and begin the forging of brotherhood among North Germanic berserkers.;;;;;x
ler_north_germanic_berserker_woolen_cloak_hut;Woolen Cloak Hut;;;;;x
ler_north_germanic_berserker_woolen_cloak_hut_desc;A simple felted hut where the tribes first weavers gather, producing warm cloaks that keep nomads healthy and ready for the harsh northern climate.;;;;;x
ler_north_germanic_berserker_bearskin_pavilion;Bearskin Pavilion;;;;;x
ler_north_germanic_berserker_bearskin_pavilion_desc;A large tent clad in bear pelts, used for gatherings of the bravest warriors. Its presence emboldens the tribe and helps the population weather the cold.;;;;;x
ler_north_germanic_berserker_drinking_circle;Drinking Circle;;;;;x
ler_north_germanic_berserker_drinking_circle_desc;A reinforced enclosure for nightly feasts, boasting carved wooden benches and a central fire. Here, bonds are sealed and war songs echo, strengthening the unity and morale of the horde.;;;;;x
ler_north_germanic_berserker_initiates_lodge;Initiates Lodge;;;;;x
ler_north_germanic_berserker_initiates_lodge_desc;A sturdy log longhouse where new warriors are tested and trained. Its construction marks the tribes transition from makeshift camps to a permanent martial tradition.;;;;;x
ler_north_germanic_berserker_test_of_strength_ring;Test of Strength Ring;;;;;x
ler_north_germanic_berserker_test_of_strength_ring_desc;A fenced arena of trampled earth where competitors wrestle and duel for glory. Victories here inspire the horde and attract strong warriors to the tribe.;;;;;x
ler_north_germanic_berserker_hall;Berserker Hall;;;;;x
ler_north_germanic_berserker_hall_desc;A grand mead hall built of heavy timber and stone, hung with trophies of past victories. Here the berserkers gather, strengthening their unity and readiness for war.;;;;;x
ler_north_germanic_berserker_oathkeepers_chamber;Oathkeepers Chamber;;;;;x
ler_north_germanic_berserker_oathkeepers_chamber_desc;A fortified room within the hall where sacred oaths are sworn and ancient relics are kept. The chamber is a symbol of unity and trust, bolstering the loyalty and discipline of the horde.;;;;;x
ler_north_germanic_berserker_champions_den;Champions Den;;;;;x
ler_north_germanic_berserker_champions_den_desc;A private lodge for the greatest berserker champions, decorated with weapons and banners. Their presence inspires loyalty, fear, and awe among the tribe and rivals alike.;;;;;x
ler_north_germanic_berserker_fury_lodge;Fury Lodge;;;;;x
ler_north_germanic_berserker_fury_lodge_desc;An immense, fortified longhouse at the heart of the nomad host. The Fury Lodge is where berserkers are forged, and the tribes greatest councils held, ensuring unmatched horde unity and power.;;;;;x
