#Code;English;French;German;Spanish;Russian;x
omh_ember_stand_zoroastrian_fire;Ember Stand;;;;;x
omh_ember_stand_zoroastrian_fire_desc;A simple, makeshift platform of stones and earthen mound, used to protect a single sacred ember. Serves as the most basic holy site for nomadic Zoroastrians, focusing on preserving tradition and unity at the frontier.;;;;;x
omh_torch_post_zoroastrian_fire;Torch Post;;;;;x
omh_torch_post_zoroastrian_fire_desc;A wooden post crowned with burning torches, marking a gathering spot for communal prayers. It expands the ember stand, strengthening clan bonds through shared ritual.;;;;;x
omh_fire_pit_zoroastrian_fire;Fire Pit;;;;;x
omh_fire_pit_zoroastrian_fire_desc;A carefully-dug pit lined with stones, holding a larger sacred fire for ceremonies. The fire pit enables more elaborate rituals and is a focal point for clan unity.;;;;;x
omh_flame_pavilion_zoroastrian_fire;Flame Pavilion;;;;;x
omh_flame_pavilion_zoroastrian_fire_desc;A large, tented structure with ornate cloth and banners, sheltering the sacred flame. The pavilion allows rituals in any weather and draws more followers to the faith.;;;;;x
omh_priests_room_zoroastrian_fire;Priests Room;;;;;x
omh_priests_room_zoroastrian_fire_desc;A dedicated, partitioned tent or yurt for the resident Mobed (priest), providing space for sacred texts and private meditation. This marks a shift to organized religious leadership.;;;;;x
omh_altar_chamber_zoroastrian_fire;Altar Chamber;;;;;x
omh_altar_chamber_zoroastrian_fire_desc;A semi-permanent wooden or stone structure with a raised altar for holy offerings, attended by multiple priests. Rituals now include the whole clan and attract spiritual visitors.;;;;;x
omh_sanctified_hall_zoroastrian_fire;Sanctified Hall;;;;;x
omh_sanctified_hall_zoroastrian_fire_desc;A large, decorated tent or wooden hall adorned with tapestries and symbols of Ahura Mazda. The sanctified hall becomes the spiritual heart for many clans, fostering religious unity.;;;;;x
omh_holy_fire_pavilion_zoroastrian_fire;Holy Fire Pavilion;;;;;x
omh_holy_fire_pavilion_zoroastrian_fire_desc;A grand, semi-permanent structure of stone and wood, sheltering an eternal fire tended by a priestly order. Pilgrims now travel from afar, strengthening religious authority and unity.;;;;;x
omh_blessed_sanctuary_zoroastrian_fire;Blessed Sanctuary;;;;;x
omh_blessed_sanctuary_zoroastrian_fire_desc;A stone-walled, richly adorned sanctuary with dedicated quarters for priests, facilities for pilgrims, and a sanctified altar for the Atash Behram. It radiates faith across the steppes.;;;;;x
omh_zoroastrian_fire_temple;Zoroastrian Fire Temple;;;;;x
omh_zoroastrian_fire_temple_desc;A monumental and enduring fire temple built in the nomadic tradition, with stone walls, domed roofs, and a sanctified inner chamber holding the eternal flame. The temple serves as the supreme center of faith and unity for all clans of the steppes.;;;;;x
