#Code;English;French;German;Spanish;Russian;x
fav_lookout_mound;Lookout Mound;;;;;x
fav_lookout_mound_desc;A simple earthen mound, hastily raised to give scouts a vantage point over the surrounding lands. Useful for early warning against raiders and wild beasts.;;;;;x
fav_raised_watchstand;Raised Watchstand;;;;;x
fav_raised_watchstand_desc;A crude wooden scaffold atop the mound, allowing sentries to keep watch for approaching threats. Slightly improves population safety and response time.;;;;;x
fav_signal_fire_ring;Signal Fire Ring;;;;;x
fav_signal_fire_ring_desc;A circle of stone and earth for signal fires, allowing for rapid communication between scouts and the main camp. Enhances population and supply, and strengthens clan unity.;;;;;x
fav_hilltop_perch;Hilltop Perch;;;;;x
fav_hilltop_perch_desc;A semi-permanent wooden platform built on a high rise, providing scouts with panoramic views and a secure place to rest and relay messages.;;;;;x
fav_alert_tower;Alert Tower;;;;;x
fav_alert_tower_desc;A tall wooden tower, expertly constructed with watch platforms and signal beacons. Enables swift warnings and improves supply and population limits.;;;;;x
fav_messengers_hut;Messengers Hut;;;;;x
fav_messengers_hut_desc;A dedicated hut for messengers and runners, equipped with supplies and swift horses. Greatly increases communication efficiency across the clan.;;;;;x
fav_scout_outpost;Scout Outpost;;;;;x
fav_scout_outpost_desc;A fortified outpost for elite scouts, featuring watch animals and armories. Further enhances supply and rapid response to threats.;;;;;x
fav_falconers_pavilion;Falconers Pavilion;;;;;x
fav_falconers_pavilion_desc;A grand tented pavilion for falconers and their birds, enabling rapid long-distance scouting and messenger relay. Greatly improves supply and clan unity.;;;;;x
fav_riders_lookout;Riders Lookout;;;;;x
fav_riders_lookout_desc;A multi-storey wooden tower with stables for the fastest horses, serving as a base for the swiftest riders and elite scouts. Dramatically increases supply and population multipliers.;;;;;x
fav_grand_steppe_watch;Grand Watch Network;;;;;x
fav_grand_steppe_watch_desc;A legendary network of towers, pavilions, and relay stations spanning the land. Guarantees unmatched early warning, clan unity, and logistical supremacy for the horde.;;;;;x
