#Code;English;French;German;Spanish;Russian;x
zrd_iranian_fire_temple_ember_stand;Ember Stand;;;;;x
zrd_iranian_fire_temple_ember_stand_desc;A simple stone platform where sacred embers are kept alight, tended by the faithful to preserve Zoroastrian tradition on the frontier.;;;;;x
zrd_iranian_fire_temple_torch_post;Torch Post;;;;;x
zrd_iranian_fire_temple_torch_post_desc;A ring of wooden posts with ever-burning torches, marking a growing congregation and providing light and hope to the nomadic faithful.;;;;;x
zrd_iranian_fire_temple_fire_pit;Fire Pit;;;;;x
zrd_iranian_fire_temple_fire_pit_desc;A communal pit, lined with stones and clay, where the sacred fire is tended day and night. The fire pit draws both worshippers and wandering clans.;;;;;x
zrd_iranian_fire_temple_flame_pavilion;Flame Pavilion;;;;;x
zrd_iranian_fire_temple_flame_pavilion_desc;A large tented structure with decorated banners and a raised hearth, allowing for the gathering of priests and the performance of greater rituals.;;;;;x
zrd_iranian_fire_temple_priests_room;Priests Room;;;;;x
zrd_iranian_fire_temple_priests_room_desc;Partitioned sleeping and study quarters for the Mobeds, the priestly class, enabling the teaching of doctrine and deeper community ties.;;;;;x
zrd_iranian_fire_temple_altar_chamber;Altar Chamber;;;;;x
zrd_iranian_fire_temple_altar_chamber_desc;A semi-permanent structure of mud brick and timber, housing a stone altar for major rites and the preservation of holy relics.;;;;;x
zrd_iranian_fire_temple_sanctified_hall;Sanctified Hall;;;;;x
zrd_iranian_fire_temple_sanctified_hall_desc;A proper wooden and brick hall, adorned with sacred motifs, where large assemblies and feasts can be held to honor the faith and unify the clans.;;;;;x
zrd_iranian_fire_temple_holy_fire_pavilion;Holy Fire Pavilion;;;;;x
zrd_iranian_fire_temple_holy_fire_pavilion_desc;A multi-tented complex with a domed shelter for the Atash Bahram, housing the most sacred fire and drawing pilgrims from distant lands.;;;;;x
zrd_iranian_fire_temple_blessed_sanctuary;Blessed Sanctuary;;;;;x
zrd_iranian_fire_temple_blessed_sanctuary_desc;A grand, semi-permanent sanctuary of fired brick, with marble tiles and a rooftop vent for the sacred fire. The sanctuary unites the clans in worship and strengthens the faiths prestige.;;;;;x
zrd_iranian_grand_fire_temple;Iranian Grand Fire Temple;;;;;x
zrd_iranian_grand_fire_temple_desc;A monumental stone temple with high domes, gilded altars, and a great hall for all the clans. The eternal flame blazes within, cementing your legacy as a true champion of the faith.;;;;;x
