#Code;English;French;German;Spanish;Russian;x
jjp_stone_bath_jewish_nomad_1;Stone Bath;;;;;x
jjp_stone_bath_jewish_nomad_1_desc;A basic ritual bathing site, constructed with crudely stacked stones and filled from nearby streams or wells. Used by the faithful for ritual purification even in the harshest conditions.;;;;;x
jjp_water_storage_jewish_nomad_2;Water Storage;;;;;x
jjp_water_storage_jewish_nomad_2_desc;Improved ritual bath with lined pits and clay jars for storing water, ensuring the community has a reliable supply for purification even during drought or migration.;;;;;x
jjp_ritual_pool_jewish_nomad_3;Ritual Pool;;;;;x
jjp_ritual_pool_jewish_nomad_3_desc;A larger, partially dug-out ritual pool lined with stones and basic wooden planks, enabling more extensive and communal purification ceremonies on the move.;;;;;x
jjp_heated_chamber_jewish_nomad_4;Heated Chamber;;;;;x
jjp_heated_chamber_jewish_nomad_4_desc;A covered and semi-permanent bath structure, featuring primitive heating (stone hearths or clay ovens) for comfort and year-round ritual immersion, even in cold climates.;;;;;x
jjp_changing_room_jewish_nomad_5;Changing Room;;;;;x
jjp_changing_room_jewish_nomad_5_desc;A dedicated tent or wooden enclosure for privacy, allowing for dignified preparation before and after ritual immersion, reinforcing communal cohesion.;;;;;x
jjp_private_bath_pavilion_jewish_nomad_6;Private Bath Pavilion;;;;;x
jjp_private_bath_pavilion_jewish_nomad_6_desc;A more elaborate structure with partitions for private immersion, reserved for elders and prominent clan members, fostering respect for tradition and leadership.;;;;;x
jjp_community_bathhouse_jewish_nomad_7;Community Bathhouse;;;;;x
jjp_community_bathhouse_jewish_nomad_7_desc;A semi-permanent communal bathhouse with stone or mud-brick walls, proper drainage, and a water channel, serving as a center for ritual purity and clan gatherings.;;;;;x
jjp_family_bath_hall_jewish_nomad_8;Family Bath Hall;;;;;x
jjp_family_bath_hall_jewish_nomad_8_desc;A spacious, well-constructed hall with distinct areas for families and gender-segregated ritual immersion, reflecting developed nomadic piety and unity.;;;;;x
jjp_sanctified_bath_room_jewish_nomad_9;Sanctified Bath Room;;;;;x
jjp_sanctified_bath_room_jewish_nomad_9_desc;A highly sanctified and adorned bath chamber, blessed by religious authorities, drawing pilgrims and conferring great honor and unity upon the clan.;;;;;x
jjp_mikveh_jewish_nomad_10;Mikveh;;;;;x
jjp_mikveh_jewish_nomad_10_desc;The pinnacle of ritual bathing—a masterfully constructed, halachically pure mikveh that serves as both a spiritual and social heart for the nomadic Jewish clan, radiating sanctity and unity across the steppe.;;;;;x
