#Code;English;French;German;Spanish;Russian;x
rri_earthen_pit_indo_aryan;Earthen Pit;;;;;x
rri_earthen_pit_indo_aryan_desc;A simple storage pit dug into the ground, lined with straw and clay—an age-old solution for preserving grain and supplies in the earliest days of the nomad encampment.;;;;;x
rri_woven_basket_indo_aryan;Woven Basket;;;;;x
rri_woven_basket_indo_aryan_desc;Large, tightly-woven baskets of reed and grass, carried on wagons or sleds, allow for mobile, above-ground storage and a modest increase in goods preservation.;;;;;x
rri_mudbrick_hut_indo_aryan;Mudbrick Hut;;;;;x
rri_mudbrick_hut_indo_aryan_desc;Crude huts constructed of sun-baked mudbrick and thatch provide more durable storage, keeping out the elements and increasing the encampments capacity.;;;;;x
rri_raised_silo_indo_aryan;Raised Silo;;;;;x
rri_raised_silo_indo_aryan_desc;Granaries built on timber stilts, with slatted floors, keep grain dry and safe from flood and vermin. This marks a shift to more sophisticated and semi-permanent food storage.;;;;;x
rri_guarded_storehouse_indo_aryan;Guarded Storehouse;;;;;x
rri_guarded_storehouse_indo_aryan_desc;A fortified structure of timber and clay, watched by loyal guards, ensures the safety of supplies and wealth, deterring thieves and bolstering clan security.;;;;;x
rri_rodent_proof_hut_indo_aryan;Rodent-Proof Hut;;;;;x
rri_rodent_proof_hut_indo_aryan_desc;Constructed with smooth, stone-lined walls and sealed doors, these granaries are nearly impervious to pests, significantly reducing spoilage and waste.;;;;;x
rri_expanded_store_indo_aryan;Expanded Store;;;;;x
rri_expanded_store_indo_aryan_desc;A greatly enlarged and compartmentalized storehouse, able to handle surpluses and trade goods, supporting a growing and prosperous nomadic clan.;;;;;x
rri_market_pavilion_indo_aryan;Market Pavilion;;;;;x
rri_market_pavilion_indo_aryan_desc;A bustling open-air tent market, where merchants and clansfolk gather to barter and trade, greatly boosting the encampments economic vibrancy.;;;;;x
rri_grain_exchange_hall_indo_aryan;Grain Exchange Hall;;;;;x
rri_grain_exchange_hall_indo_aryan_desc;A permanent, timber-framed hall that acts as a central hub for the buying, selling, and storing of grain and goods, drawing merchants from afar and enriching the clan.;;;;;x
rri_indo_aryan_granary;Indo-Aryan Granary;;;;;x
rri_indo_aryan_granary_desc;A monumental granary structure, inspired by the ancient storehouses of the Indus, able to sustain a vast nomadic population and project the clans wealth and unity across the steppe.;;;;;x
