#Code;English;French;German;Spanish;Russian;x
ynl_latin_bathhouse_cold_plunge_pool;Cold Plunge Pool;;;;;x
ynl_latin_bathhouse_cold_plunge_pool_desc;A simple pit lined with clay and stones, filled with cold water from a nearby stream. Used by the clan to refresh and cleanse after travel.;;;;;x
ynl_latin_bathhouse_steam_tent;Steam Tent;;;;;x
ynl_latin_bathhouse_steam_tent_desc;A hide-and-felt tent heated with hot stones and water, providing warmth and relaxation to the nomads and improving unity.;;;;;x
ynl_latin_bathhouse_stone_tub_hut;Stone Tub Hut;;;;;x
ynl_latin_bathhouse_stone_tub_hut_desc;A sturdier hut with a large carved stone tub, letting more of the clan bathe together and improving clan health and unity.;;;;;x
ynl_latin_bathhouse_heated_floor_room;Heated Floor Room;;;;;x
ynl_latin_bathhouse_heated_floor_room_desc;A primitive hypocaust system using buried clay pipes and fires, providing warmth and improving comfort in harsher seasons.;;;;;x
ynl_latin_bathhouse_hot_spring_pavilion;Hot Spring Pavilion;;;;;x
ynl_latin_bathhouse_hot_spring_pavilion_desc;A semi-permanent wooden structure built over a natural hot spring, allowing the clan to benefit from healing waters and improved supply conditions.;;;;;x
ynl_latin_bathhouse_warm_bath_hall;Warm Bath Hall;;;;;x
ynl_latin_bathhouse_warm_bath_hall_desc;A large hall lined with warm water basins, decorated with clan symbols. It serves as a center for council and unity, boosting population and supply.;;;;;x
ynl_latin_bathhouse_mosaic_chamber;Mosaic Chamber;;;;;x
ynl_latin_bathhouse_mosaic_chamber_desc;A grand chamber with stone floors and colorful mosaics, used for gatherings and clan celebrations, strengthening unity and manpower.;;;;;x
ynl_latin_bathhouse_frigidarium;Frigidarium;;;;;x
ynl_latin_bathhouse_frigidarium_desc;A large, marble-lined cold room for cooling off after baths, improving health, supply, and morale for the clans warriors.;;;;;x
ynl_latin_bathhouse_tepidarium;Tepidarium;;;;;x
ynl_latin_bathhouse_tepidarium_desc;A warm, vaulted bath chamber with stone benches and gentle heat, providing comfort, improving population, and greatly increasing unity and manpower.;;;;;x
ynl_latin_bathhouse_grand_bathhouse;Grand Bathhouse;;;;;x
ynl_latin_bathhouse_grand_bathhouse_desc;An expansive, multi-chambered bath complex of stone, tile, and marble, with both hot and cold pools, ornate decorations, and space for the entire clan to gather, strengthening population, unity, and supply to their peak.;;;;;x
