#Code;English;French;German;Spanish;Russian;x
bhe_students_bench;Students Bench;;;;;x
bhe_students_bench_desc;A makeshift circle of rugs and benches where young minds gather to hear the basics of faith and learning in the open steppe.;;;;;x
bhe_reading_room;Reading Room;;;;;x
bhe_reading_room_desc;A simple tented enclosure where elders and youth read aloud and discuss the teachings of Islam, fostering unity and knowledge.;;;;;x
bhe_teachers_pavilion;Teachers Pavilion;;;;;x
bhe_teachers_pavilion_desc;A large nomad tent reserved for respected instructors, providing structure for daily lessons and guidance for the clans children.;;;;;x
bhe_scribes_nook;Scribes Nook;;;;;x
bhe_scribes_nook_desc;A mobile enclosure where literate clan members copy, comment, and preserve sacred and scholarly texts for the tribes use.;;;;;x
bhe_learning_hall;Learning Hall;;;;;x
bhe_learning_hall_desc;A semi-permanent tent city for lectures and debate, bringing together scholars, jurists, and the devout for advanced study and legal discussion.;;;;;x
bhe_scriptorium;Scriptorium;;;;;x
bhe_scriptorium_desc;A dedicated structure for copying Qur’ans and scholarly treatises, attracting learned travelers and cementing the clans reputation for piety.;;;;;x
bhe_scholars_chamber;Scholars Chamber;;;;;x
bhe_scholars_chamber_desc;A large, well-appointed yurt reserved for renowned scholars and visiting theologians, fostering advanced jurisprudential and spiritual thought among the clan.;;;;;x
bhe_study_room;Study Room;;;;;x
bhe_study_room_desc;A permanent structure with shelves of books and tablets, where elite students and future leaders receive rigorous education and spiritual guidance.;;;;;x
bhe_lecture_hall;Lecture Hall;;;;;x
bhe_lecture_hall_desc;A grand assembly tent capable of hosting visiting jurists, poets, and theologians, becoming a center for learning, law, and unity across the steppe.;;;;;x
bhe_muslim_madrasa;Muslim Madrasa;;;;;x
bhe_muslim_madrasa_desc;A prestigious, permanent center of learning, attracting scholars, jurists, and students from across the Muslim world, and elevating the clans religious authority and unity.;;;;;x
