#Code;English;French;German;Spanish;Russian;x
rrr_jewish_counting_room;Counting Room;;;;;x
rrr_jewish_counting_room_desc;A modest stone chamber where ledgers are kept and deals are tallied, lending legitimacy to the markets transactions.;;;;;x
rrr_jewish_merchant_booth;Merchant Booth;;;;;x
rrr_jewish_merchant_booth_desc;A humble canvas booth for trading wares, marking the Jewish quarters first step into local commerce.;;;;;x
rrr_jewish_trade_arcade;Trade Arcade;;;;;x
rrr_jewish_trade_arcade_desc;A row of wooden stalls and awnings, offering a more stable venue for the quarters burgeoning merchants.;;;;;x
rrr_jewish_bookstall_lane;Bookstall Lane;;;;;x
rrr_jewish_bookstall_lane_desc;A bustling lane lined with book stalls and scribes, a hub of learning and commerce renowned beyond the city walls.;;;;;x
rrr_jewish_moneylenders_office;Moneylenders' Office;;;;;x
rrr_jewish_moneylenders_office_desc;A reinforced office for moneylending and credit, guarded and equipped to handle valuables and sensitive negotiations.;;;;;x
rrr_jewish_jewelers_shop;Jewelers Shop;;;;;x
rrr_jewish_jewelers_shop_desc;A secure, stone-built shop where skilled craftsmen cut gems and mint precious wares, attracting traders from afar.;;;;;x
rrr_jewish_cloth_hall;Cloth Hall;;;;;x
rrr_jewish_cloth_hall_desc;A grand market hall for textiles and luxury fabrics, with vaulted ceilings and guarded entries, bustling with wealthy patrons.;;;;;x
rrr_jewish_market_gallery;Market Gallery;;;;;x
rrr_jewish_market_gallery_desc;A covered market of stone and timber, with multiple galleries for artisans, traders, and guilds, offering both protection and prestige.;;;;;x
rrr_jewish_commerce_house;Commerce House;;;;;x
rrr_jewish_commerce_house_desc;A stately headquarters for trade guilds and merchant councils, supervising contracts and mediating disputes with authority.;;;;;x
rrr_jewish_grand_merchant_quarter;Grand Merchant Quarter;;;;;x
rrr_jewish_grand_merchant_quarter_desc;The entire district transformed into an opulent center of commerce, protected by walls and patrolled by guards, drawing merchants from across continents.;;;;;x
