#Code;English;French;German;Spanish;Russian;x
gvy_arctic_survival_snow_shelter_1;Snow Shelter;;;;;x
gvy_arctic_survival_snow_shelter_1_desc;Basic snow-packed lean-tos provide rudimentary protection against the Arctic chill, allowing the clan to survive the harshest nights.;;;;;x
gvy_arctic_survival_ice_block_hut_2;Ice Block Hut;;;;;x
gvy_arctic_survival_ice_block_hut_2_desc;Huts of stacked ice blocks offer hardier shelter, improving survival and the ability to house more nomads.;;;;;x
gvy_arctic_survival_windbreak_tent_3;Windbreak Tent;;;;;x
gvy_arctic_survival_windbreak_tent_3_desc;Portable hide tents ringed with snow walls, shielding the camp from wind and enabling population growth.;;;;;x
gvy_arctic_survival_fur_lined_yurt_4;Fur-Lined Yurt;;;;;x
gvy_arctic_survival_fur_lined_yurt_4_desc;Sturdy yurts lined with thick furs, providing warmth and comfort for a growing nomadic population.;;;;;x
gvy_arctic_survival_frost_storage_5;Frost Storage;;;;;x
gvy_arctic_survival_frost_storage_5_desc;Large subterranean storage pits insulated with ice, allowing surplus supplies for major population and army support.;;;;;x
gvy_arctic_survival_seal_oil_lamp_post_6;Seal Oil Lamp Post;;;;;x
gvy_arctic_survival_seal_oil_lamp_post_6_desc;Rows of seal oil lamps light the camp, deterring predators and brightening the endless night, inspiring unity.;;;;;x
gvy_arctic_survival_igloo_cluster_7;Igloo Cluster;;;;;x
gvy_arctic_survival_igloo_cluster_7_desc;A permanent cluster of interconnected igloos forms a true arctic village, sustaining a thriving, mobile population.;;;;;x
gvy_arctic_survival_blizzard_refuge_8;Blizzard Refuge;;;;;x
gvy_arctic_survival_blizzard_refuge_8_desc;A fortified, insulated refuge with layered snow barriers, capable of protecting the entire clan from the fiercest storms.;;;;;x
gvy_arctic_survival_tundra_outpost_9;Tundra Outpost;;;;;x
gvy_arctic_survival_tundra_outpost_9_desc;A strategically placed outpost, enabling the clan to exert control and move swiftly across the tundra.;;;;;x
gvy_arctic_survival_polar_stronghold_10;Polar Stronghold;;;;;x
gvy_arctic_survival_polar_stronghold_10_desc;A nearly impenetrable arctic bastion—massive, insulated, and fiercely defended—serving as the heart of the clans polar domain.;;;;;x
