#Code;English;French;German;Spanish;Russian;x
crt_wooden_minaret;Wooden Minaret;;;;;x
crt_wooden_minaret_desc;A simple, hastily constructed wooden minaret, raised by early settlers to call the faithful to prayer. Provides basic spiritual guidance and presence.;;;;;x
crt_stone_minaret;Stone Minaret;;;;;x
crt_stone_minaret_desc;A sturdier stone minaret replaces wood, symbolizing a more permanent Muslim presence and enhancing the spiritual authority of the mosque.;;;;;x
crt_tall_minaret;Tall Minaret;;;;;x
crt_tall_minaret_desc;A prominent tall minaret, visible for miles, elevates the call to prayer and enhances the religious prestige of the settlement.;;;;;x
crt_decorated_minaret;Decorated Minaret;;;;;x
crt_decorated_minaret_desc;Adorned with geometric patterns and calligraphy, this minaret inspires learning and reverence, attracting pilgrims and scholars alike.;;;;;x
crt_enclosed_minaret;Enclosed Minaret;;;;;x
crt_enclosed_minaret_desc;This minaret features a fortified enclosure, providing spiritual defense and shelter for the faithful during times of unrest.;;;;;x
crt_ornate_minaret;Ornate Minaret;;;;;x
crt_ornate_minaret_desc;Lavishly decorated with intricate mosaics and gilded inscriptions, this minaret elevates the mosques status across the realm.;;;;;x
crt_double_minaret;Double Minaret;;;;;x
crt_double_minaret_desc;Twin minarets rise, signifying prosperity and power. Their presence draws crowds and increases the mosques influence over local affairs.;;;;;x
crt_grand_minaret;Grand Minaret;;;;;x
crt_grand_minaret_desc;The Grand Minaret is a marvel of architecture, inspiring awe in visitors and establishing the mosque as a center of faith and learning.;;;;;x
crt_sanctified_minaret;Sanctified Minaret;;;;;x
crt_sanctified_minaret_desc;This sacred minaret is blessed by renowned scholars and spiritual leaders, radiating religious influence far beyond the province.;;;;;x
crt_great_mosque_minaret;Great Mosque Minaret;;;;;x
crt_great_mosque_minaret_desc;Crowning a Great Mosque, this minaret is a beacon to the faithful, symbolizing Islamic unity, knowledge, and unmatched spiritual power.;;;;;x
