#Code;English;French;German;Spanish;Russian;x
bsj_nomad_christian_monastery_hermits_hut;Hermits Hut;;;;;x
bsj_nomad_christian_monastery_hermits_hut_desc;A simple, makeshift shelter for a wandering holy hermit, providing a spiritual anchor for the clan in the wilds.;;;;;x
bsj_nomad_christian_monastery_stone_cell;Stone Cell;;;;;x
bsj_nomad_christian_monastery_stone_cell_desc;A rough stone cell for ascetic prayer, offering a more permanent retreat for holy men and increasing the clans spiritual cohesion.;;;;;x
bsj_nomad_christian_monastery_scriptorium;Scriptorium;;;;;x
bsj_nomad_christian_monastery_scriptorium_desc;A humble tent or wagon for copying holy texts and recording clan chronicles, subtly improving unity and prestige.;;;;;x
bsj_nomad_christian_monastery_prayer_chamber;Prayer Chamber;;;;;x
bsj_nomad_christian_monastery_prayer_chamber_desc;A dedicated wooden structure for communal prayers, fostering greater unity and favor with the clergy.;;;;;x
bsj_nomad_christian_monastery_cloister_pavilion;Cloister Pavilion;;;;;x
bsj_nomad_christian_monastery_cloister_pavilion_desc;A tented cloister forming a spiritual heart for the clan, its organization improving unity and clan sentiment.;;;;;x
bsj_nomad_christian_monastery_monks_hall;Monks Hall;;;;;x
bsj_nomad_christian_monastery_monks_hall_desc;A wooden hall where monks gather for learning and prayer, strengthening the clans spiritual bond and reputation.;;;;;x
bsj_nomad_christian_monastery_refectorium;Refectorium;;;;;x
bsj_nomad_christian_monastery_refectorium_desc;A communal dining tent where monks and visitors gather, promoting hospitality and further clan unity.;;;;;x
bsj_nomad_christian_monastery_abbey_room;Abbey Room;;;;;x
bsj_nomad_christian_monastery_abbey_room_desc;A private chamber for the abbot or senior monk, symbolizing the clans spiritual leadership and enhancing prestige with the Church.;;;;;x
bsj_nomad_christian_monastery_choir_chamber;Choir Chamber;;;;;x
bsj_nomad_christian_monastery_choir_chamber_desc;A dedicated chamber for sacred music and song, drawing pilgrims and increasing the clans religious prestige.;;;;;x
bsj_nomad_christian_monastery_grand_monastery;Grand Monastery;;;;;x
bsj_nomad_christian_monastery_grand_monastery_desc;A grand, stone-built monastery, a beacon of faith on the steppe, inspiring unity, piety, and the respect of all Christian realms.;;;;;x
